polity_code,polity_name,polity_type,continent,area_deg2,centroid_lon,centroid_lat,n_parts,n_vertices,n_holes,compactness,is_valid,span_lon,span_lat
EGY-1925-1967,Egypt (1925-1967),historical,Africa,90.48956298328648,29.871910458963264,26.494280037820474,1,808,0,0.40165272031659194,True,12.188891011351643,9.646643356848728
LIB-1925-1934,Libya (1925-1934),historical,Africa,139.29599664763919,17.741291846387767,27.385816083814284,1,532,0,0.592565777787573,True,15.839647264751818,11.17504748908037
COT-1932-1947,Côte d'Ivoire (1932-1947),historical,Africa,38.45279461830215,-4.6413791973236975,8.882827735105606,2,658,0,0.2558649696412589,True,8.654932008060541,9.5917903197102
MAL-1932-1944,Mali (1932-1944),historical,Africa,128.84581234933808,-4.031711424246173,17.347148471893274,1,556,0,0.42899914215198237,True,16.49598328809043,16.02529617315325
NIG-1932-1947,Niger (1932-1947),historical,Africa,107.09721878847596,8.86292544467359,17.15044709948803,1,421,0,0.4558869965263622,True,17.31555401612644,12.585364011721026
SUD-1934-2011,Sudan (1934-2011),historical,Africa,208.65461573113606,30.04993629441287,13.831607742165826,1,884,0,0.4931010645220771,True,16.77499551562292,18.738827017451868
MAL-1944-1947,Mali (1944-1947),historical,Africa,110.71106070815141,-3.4913895030221362,17.20439664670121,1,595,0,0.3325222168016154,True,16.49598328809043,14.860385421247202
MAU-1944-1975,Mauritania (1944-1975),historical,Africa,89.90564696743232,-10.332325785775337,20.25990135162898,2,476,0,0.41336610769060145,True,12.266616159572408,12.564818011701902
MAL-1947-1959,Mali (1947-1959),historical,Africa,106.64933740470875,-3.5243676556108663,17.350324526379833,1,613,0,0.3254876594619471,True,16.49598328809043,14.860385421247202
ETH-1952-1993,Ethiopia (1952-1993),historical,Africa,102.90147025090396,39.540379318447,9.292124418707788,2,742,0,0.4149335414863125,True,14.995809252061122,14.59619051359384
