excel_region,match_status,polity_code,parent_code,has_polygon,polygon_source,quality_tier,needs_subnational
italian and british somaliland,matched,SOM-1960-2025,,True,CShapes 2.0 (1960-2019),1,False
italian dodecanese islands,matched,DOD-1912-2025,,True,CShapes 2.0 (1944-2019),1,False
italian east africa,matched,ETH-1907-1952,,True,CShapes 2.0 (1907-1936),1,False
italian eritrea,matched,ERI-1882-2025,,True,CShapes 2.0 (1941-1952),1,False
italian eritrea (by land),matched,ERI-1882-2025,,True,CShapes 2.0 (1941-1952),1,False
italian eritrea (by sea),matched,ERI-1882-2025,,True,CShapes 2.0 (1941-1952),1,False
italian libya,matched,ITL-1911-2025,,True,CShapes 2.0 (1951-2019),1,False
italian libya (associated cultivation),matched,ITL-1911-2025,,True,CShapes 2.0 (1951-2019),1,False
italian libya (simple and associated cultivation),matched,ITL-1911-2025,,True,CShapes 2.0 (1951-2019),1,False
italian libya (simple cultivation),matched,ITL-1911-2025,,True,CShapes 2.0 (1951-2019),1,False
italian libya: cyrenaica,subnational,ITL-1911-2025,ITL-1911-2025,True,"GADM admin-1 merged: LBY [Benghazi, Al Marj, Darnah, Al Jabal al Akhdar, Al Butnan, Al Kufrah, Al Wahat]",3,True
italian libya: tripolitania,subnational,ITL-1911-2025,ITL-1911-2025,True,"GADM admin-1 merged: LBY [Tripoli, Al Marqab, Misratah, Al Jufrah, Nalut, Az Zawiyah, An Nuqat al Khams, Al Jabal al Gharbi]",3,True
italian somaliland,matched,ITS-1908-2025,,True,CShapes 2.0 (1924-1941),1,False
italy,matched,ITA-1919-2025,,True,CShapes 2.0 (1919-2019),1,False
italy (associated cultivation),matched,ITA-1919-2025,,True,CShapes 2.0 (1919-2019),1,False
italy (intercalary cultivation),matched,ITA-1919-2025,,True,CShapes 2.0 (1919-2019),1,False
italy (main and secondary cultivation),matched,ITA-1919-2025,,True,CShapes 2.0 (1919-2019),1,False
italy (main cultivation),matched,ITA-1919-2025,,True,CShapes 2.0 (1919-2019),1,False
italy (secondary cultivation),matched,ITA-1919-2025,,True,CShapes 2.0 (1919-2019),1,False
italy (simple and associated cultivation),matched,ITA-1919-2025,,True,CShapes 2.0 (1919-2019),1,False
italy (simple cultivation),matched,ITA-1919-2025,,True,CShapes 2.0 (1919-2019),1,False
italy (total cultivation),matched,ITA-1919-2025,,True,CShapes 2.0 (1919-2019),1,False
japan,matched,JPN-1800-2025,,True,CShapes 2.0 (1886-1945),1,False
japan (coree seule),matched,JPN-1800-2025,,True,CShapes 2.0 (1886-1945),1,False
japan (frijoles rojos),matched,JPN-1800-2025,,True,CShapes 2.0 (1886-1945),1,False
japan (trade with foreign countries),matched,JPN-1800-2025,,True,CShapes 2.0 (1886-1945),1,False
japan (trade with formosa),matched,JPN-1800-2025,,True,CShapes 2.0 (1886-1945),1,False
japan (trade with korea),matched,JPN-1800-2025,,True,CShapes 2.0 (1886-1945),1,False
japan: karafuto prefecture,subnational,JPN-1800-2025,JPN-1800-2025,True,"CShapes 2.0 (Southern Sakhalin Island, 1905-1945)",1,True
japanese korea,matched,KOR-1800-1945,,True,CShapes 2.0 (1945-1948),1,False
japanese korea (autumn rearing),matched,KOR-1800-1945,,True,CShapes 2.0 (1945-1948),1,False
japanese korea (spring rearing),matched,KOR-1800-1945,,True,CShapes 2.0 (1945-1948),1,False
japanese korea (trade with foreign countries),matched,KOR-1800-1945,,True,CShapes 2.0 (1945-1948),1,False
japanese korea (trade with japan),matched,KOR-1800-1945,,True,CShapes 2.0 (1945-1948),1,False
japanese kwantung,matched,KWA-1898-2025,,True,GADM 4.1 fallback,1,False
japanese manchukuo,matched,MAN-1932-1945,,True,CShapes 2.0 (1921-1945),1,False
japanese south pacific,matched,MNP-1991-2025,,True,GADM 4.1,1,False
japanese south pacific: angaur,subnational,MNP-1991-2025,MNP-1991-2025,False,,,True
