prefix,code1,name1,type1,code2,name2,type2,overlap_years,category
ITA,ITA-1889-1924,Italian Somaliland (1889-1924),colonial,ITA-1919-2025,Italy,sovereign,6,different_type_dual
ITA,ITA-1889-1924,Italian Somaliland (1889-1924),colonial,ITA-1924-1960,Italian Somaliland (1924-1960),colonial,1,same_entity_period_split
ITA,ITA-1919-2025,Italy,sovereign,ITA-1924-1960,Italian Somaliland (1924-1960),colonial,37,different_type_dual
JAM,JAM-1800-2025,Jamaica,sovereign,JAM-1947-1949,Jammu and Kashmir (1947-1949),historical,3,different_type_dual
MAL,MAL-1905-1919,Mali (1905-1919),historical,MAL-1919-1932,Mali (1919-1932),historical,1,same_entity_period_split
MAL,MAL-1919-1932,Mali (1919-1932),historical,MAL-1932-1944,Mali (1932-1944),historical,1,same_entity_period_split
MAL,MAL-1932-1944,Mali (1932-1944),historical,MAL-1944-1947,Mali (1944-1947),historical,1,same_entity_period_split
MAL,MAL-1944-1947,Mali (1944-1947),historical,MAL-1946-1963,Malaysia (1946-1963),historical,2,iso_collision
MAL,MAL-1944-1947,Mali (1944-1947),historical,MAL-1947-1959,Mali (1947-1959),historical,1,same_entity_period_split
MAL,MAL-1946-1963,Malaysia (1946-1963),historical,MAL-1947-1959,Mali (1947-1959),historical,13,iso_collision
MAL,MAL-1946-1963,Malaysia (1946-1963),historical,MAL-1959-1960,Mali (1959-1960),historical,2,iso_collision
MAL,MAL-1947-1959,Mali (1947-1959),historical,MAL-1959-1960,Mali (1959-1960),historical,1,same_entity_period_split
NET,NET-1800-2025,Netherlands (old),aggregate,NET-1800-1986,Netherlands Antilles (original),dependency,187,different_type_dual
NEW,NEW-1800-1948,Newfoundland (to 1948),historical,NEW-1800-1920,New Guinea (to 1920),historical,121,iso_collision
NEW,NEW-1800-1948,Newfoundland (to 1948),historical,NEW-1800-1900,New South Wales (to 1900),historical,101,iso_collision
NEW,NEW-1800-1948,Newfoundland (to 1948),historical,NEW-1920-1949,New Guinea (1920-1949),mandate,29,different_type_dual
NEW,NEW-1800-1920,New Guinea (to 1920),historical,NEW-1800-1900,New South Wales (to 1900),historical,101,iso_collision
NEW,NEW-1800-1920,New Guinea (to 1920),historical,NEW-1920-1949,New Guinea (1920-1949),mandate,1,same_entity_period_split
NIG,NIG-1905-1932,Niger (1905-1932),historical,NIG-1914-1961,Nigeria (1914-1961),historical,19,iso_collision
NIG,NIG-1905-1932,Niger (1905-1932),historical,NIG-1932-1947,Niger (1932-1947),historical,1,same_entity_period_split
NIG,NIG-1914-1961,Nigeria (1914-1961),historical,NIG-1932-1947,Niger (1932-1947),historical,16,iso_collision
NOR,NOR-1800-2025,Norway,sovereign,NOR-1899-1904,Northern Nigeria (1899-1904),historical,6,different_type_dual
NOR,NOR-1800-2025,Norway,sovereign,NOR-1900-1911,Northeastern Rhodesia (1900-1911),historical,12,different_type_dual
NOR,NOR-1800-2025,Norway,sovereign,NOR-1900-1905,Northwestern Rhodesia (1900-1905),historical,6,different_type_dual
NOR,NOR-1800-2025,Norway,sovereign,NOR-1904-1913,Northern Nigeria (1904-1913),historical,10,different_type_dual
NOR,NOR-1800-2025,Norway,sovereign,NOR-1905-1911,Northwestern Rhodesia (1905-1911),historical,7,different_type_dual
NOR,NOR-1899-1904,Northern Nigeria (1899-1904),historical,NOR-1900-1911,Northeastern Rhodesia (1900-1911),historical,5,iso_collision
NOR,NOR-1899-1904,Northern Nigeria (1899-1904),historical,NOR-1900-1905,Northwestern Rhodesia (1900-1905),historical,5,iso_collision
NOR,NOR-1899-1904,Northern Nigeria (1899-1904),historical,NOR-1904-1913,Northern Nigeria (1904-1913),historical,1,same_entity_period_split
NOR,NOR-1900-1911,Northeastern Rhodesia (1900-1911),historical,NOR-1900-1905,Northwestern Rhodesia (1900-1905),historical,6,iso_collision
NOR,NOR-1900-1911,Northeastern Rhodesia (1900-1911),historical,NOR-1904-1913,Northern Nigeria (1904-1913),historical,8,iso_collision
NOR,NOR-1900-1911,Northeastern Rhodesia (1900-1911),historical,NOR-1905-1911,Northwestern Rhodesia (1905-1911),historical,7,iso_collision
NOR,NOR-1900-1905,Northwestern Rhodesia (1900-1905),historical,NOR-1904-1913,Northern Nigeria (1904-1913),historical,2,iso_collision
NOR,NOR-1900-1905,Northwestern Rhodesia (1900-1905),historical,NOR-1905-1911,Northwestern Rhodesia (1905-1911),historical,1,same_entity_period_split
