iso3,name,cs_name,area_gadm_km2,area_cshapes_km2,area_ratio,iou,centroid_offset_deg
BOL,Bolivia,Bolivia,1083392.0396474835,1086603.9697922932,1.0029646979369118,0.9927412631610855,0.014249917741940085
BRA,Brazil,Brazil,8500364.926235238,8472099.933560252,0.9966748495011373,0.9936606487062586,0.03245635996206268
BRB,Barbados,Barbados,434.63964122569007,442.0535930138355,1.0170576981134025,0.9059631073009811,0.00872561067685653
BRN,Brunei,Brunei,5777.799781596001,5728.780691748819,0.9915159590674426,0.8767451993979022,0.008781649559602252
BWA,Botswana,Botswana,577884.0188097538,578323.750336753,1.0007609338771901,0.9946063816130686,0.006268002022531957
CAF,Central African Republic,Central African Republic,620199.6554913601,618630.4250916815,0.997469798014584,0.9910614944225972,0.004184608304637579
CAN,Canada,Canada,9955229.771439776,9952067.476582486,0.9996823483807112,0.9854431828193603,0.024399169232730073
CHE,Switzerland,Switzerland,41245.69312521044,41497.10937559655,1.0060955758368002,0.9722588509146206,0.004611650955040601
CHL,Chile,Chile,757580.3266395859,743667.0324159731,0.981634562389802,0.9261367370938446,0.18991770764060653
CHN,China,China,9382250.43770181,9369260.461360104,0.998615473288849,0.9945831693582492,0.023702813768107487
CIV,Côte d'Ivoire,Cote D'Ivoire,321658.06805935653,321307.69326525205,0.9989107228174988,0.9855157231065129,0.006245626721989324
CMR,Cameroon,Cameroon,466040.0385204401,464746.74798019987,0.9972249368437396,0.9854521637183297,0.008308111107747575
COD,Democratic Republic of the Congo,"Congo, Democratic Republic of (Zaire)",2329127.682868037,2326636.404941594,0.99893038155668,0.9945289297096173,0.007609838716886495
COG,Republic of Congo,Congo,341732.17595242884,344021.79024099564,1.0067000254868759,0.9791337619493276,0.021508536107780033
COL,Colombia,Colombia,1136758.8232755046,1135124.466357271,0.9985622659048079,0.9876392901929723,0.013472795994692437
COM,Comoros,Sao Tome and Principe,1673.149991735451,1142.0769554113915,0.6825908980382497,0.0,38.957181355437704
CPV,Cape Verde,Guinea-Bissau,4090.9524937861565,33241.785736703285,8.125683636560192,0.0,9.827704532121006
CRI,Costa Rica,Costa Rica,51176.77242546063,51054.282531030876,0.9976065334208374,0.9717758181766744,0.007150152282504551
CUB,Cuba,Cuba,110730.65381808189,109097.10780988674,0.9852475719065212,0.9471802850554062,0.007066991590851993
CYP,Cyprus,Cyprus,5719.6514329591755,9128.136793543796,1.5959253637281832,0.6209611016808742,0.24922889906111514
CZE,Czech Republic,Czech Republic,78835.79331313417,78752.49345241787,0.9989433751191488,0.9824125449693096,0.008395692816950417
DJI,Djibouti,Djibouti,21863.45768671895,21433.010467624714,0.980312024508561,0.9578239374559027,0.009922795817205248
DMA,Dominica,St. Lucia,754.2142937542593,635.2554347787237,0.8422744570599517,0.0,1.5832790696582297
DNK,Denmark,Denmark,43144.84715651461,42630.61365950666,0.9880812302998202,0.9217176927465079,0.01311837667495047
DOM,Dominican Republic,Dominican Republic,48092.09423420801,48314.306368792284,1.0046205543368958,0.9733976535347252,0.007982242689291536
DZA,Algeria,Algeria,2308044.6104306993,2317513.277052365,1.0041024625689097,0.9916236048216404,0.045036385130727115
ECU,Ecuador,Ecuador,256115.52041441627,255274.18453878057,0.9967150140910073,0.9760546922202682,0.009414618312288325
EGY,Egypt,Egypt,983764.6024535444,998394.0630160244,1.0148708954621803,0.9752379864767321,0.1161525633945768
ERI,Eritrea,Eritrea,120457.55577919417,120897.16747587817,1.0036495153321046,0.9411991356949903,0.024084590754001205
ESP,Spain,Spain,506043.7473982417,506124.05452583433,1.0001586960178948,0.9907286208192996,0.002136267616078711
EST,Estonia,Estonia,45489.835956013,45911.557951621224,1.0092706862257321,0.9573474875993556,0.02087458532580984
ETH,Ethiopia,Ethiopia,1129521.0779401693,1127556.3250767156,0.9982605434269215,0.9899486718090797,0.010784674466130427
FIN,Finland,Finland,336940.1037002842,335249.27421902894,0.9949818099339125,0.9760906240578869,0.025507111729281946
FJI,Fiji,Fiji,18963.482785048618,18031.52801444567,0.9508552948228619,0.8510089320113423,10.401252717950397
FRA,France,France,549516.2230876816,548040.7935127043,0.997315039096231,0.989448506712408,0.0058677102786775445
FSM,Micronesia,Micronesia (Federated states of),774.8566348244319,516.2353599770543,0.6662333866367726,0.5334289700843164,4.791371927125279
GAB,Gabon,Gabon,264549.8291969583,260680.8821224929,0.9853753559916876,0.9713097890660023,0.03481088283119684
GBR,United Kingdom,United Kingdom,245485.88161613606,244091.0689327989,0.9943181551861373,0.964665633336173,0.011267257701584429
GEO,Georgia,Georgia,69844.60689768153,69956.47458672103,1.0016016653827458,0.9731528496697351,0.0019956766767539108
GHA,Ghana,Ghana,238324.26115396828,239046.21503709472,1.0030292924422832,0.9865253879322464,0.007803091703278023
GIN,Guinea,Guinea,244816.1727890114,245068.3819058213,1.0010301979396894,0.9831172982208118,0.005108721907793341
GMB,Gambia,Gambia,10670.505657192823,10722.922146762274,1.004912277941966,0.927550730695283,0.013892593499128221
GRC,Greece,Greece,132574.7789568448,129913.43030652773,0.979925679143064,0.936430081929908,0.03972590732368102
GRD,Grenada,Grenada,359.53095854956814,346.2421376704677,0.9630384517296906,0.7624872033650653,0.04544294083711713
GTM,Guatemala,Guatemala,109151.14006894028,109028.45606513186,0.9988760172021022,0.9902996311252039,0.004845311515061318
GUY,Guyana,Guyana,209744.1522435231,210583.91582636186,1.0040037520658205,0.9842633586071352,0.005105577499627427
HND,Honduras,Honduras,112289.74550316208,112226.96601083175,0.9994409151784162,0.971359815601338,0.003206061852746606
HRV,Croatia,Croatia,57078.54597813805,55834.2113180872,0.9781996082989316,0.9291260843191684,0.03376481519217522
HTI,Haiti,Haiti,27106.74793884199,27136.77728402966,1.001107818070077,0.9453120282393369,0.00666731114246675
HUN,Hungary,Hungary,93052.87629216834,92991.1756124729,0.9993369288284899,0.9875463410643766,0.0008243429571758681
IDN,Indonesia,Indonesia,1890244.782384849,1877243.3241248732,0.9931218123805254,0.9626652529569997,0.008218922346351005
IND,India,India,3152799.7115147277,3152040.3389068036,0.9997591434035119,0.9911791942503967,0.006598066560838192
IRL,Ireland,Ireland,70366.72441793654,69578.27517733409,0.9887951407838806,0.9585643982799857,0.005266890105049098
IRN,Iran,Iran (Persia),1621741.7473281492,1621541.4195973703,0.9998764737165403,0.9933391434066605,0.014557609344672966
IRQ,Iraq,Iraq,445407.8034696541,436254.91638747725,0.9794505461941229,0.9736334702496781,0.05140690266666135
ISL,Iceland,Iceland,102224.49422568524,102889.0637316504,1.0065010789341542,0.9646343255519982,0.027127069815024364
ISR,Israel,Israel,22158.944202645816,28075.81382157803,1.2670194737087577,0.0,0.10062397784290446
ITA,Italy,Italy/Sardinia,300755.0602984575,300049.43594482006,0.9976538238361236,0.9826448508436854,0.008775638882816131
JAM,Jamaica,Jamaica,11000.033941926278,11027.548924646799,1.0025013543472487,0.9548962029088554,0.009950543697270242
JOR,Jordan,Jordan,89116.90772172365,89254.93318559942,1.001548813433998,0.9861689298950747,0.004816407043457373
JPN,Japan,Japan,372468.099470433,370950.53759158705,0.9959256594564646,0.9547464489303608,0.054667520743967066
KAZ,Kazakhstan,Kazakhstan,2730537.2699567303,2723103.495754561,0.9972775415725099,0.9906072709787374,0.04766948437582984
KEN,Kenya,Kenya,585983.5414520261,581892.1269207642,0.9930178678378515,0.9880166206131703,0.025944049536664196
KGZ,Kyrgyzstan,Kyrgyz Republic,198649.31292067698,199565.05660798066,1.0046098507658536,0.975703889311669,0.004760685716608314
