polity_code,polity_name,polity_type,continent,start_year,end_year,iso3_code,node_type,in_degree,out_degree,total_degree
ALG-1902-1919,Algeria (1902-1919),historical,Africa,1902,1919,ALG,polity,3,1,4
ETH-1902-1907,Ethiopia (1902-1907),historical,Africa,1902,1907,ETH,polity,4,4,8
KEN-1902-1906,Kenya (1902-1906),historical,Africa,1902,1906,KEN,polity,3,4,7
SUD-1902-1910,Sudan (1902-1910),historical,Africa,1902,1910,SUD,polity,4,4,8
UGA-1902-1910,Uganda (1902-1910),historical,Africa,1902,1910,UGA,polity,3,4,7
MAU-1904-1912,Mauritania (1904-1912),historical,Africa,1904,1912,MAU,polity,0,4,4
MOR-1904-1956,Morocco (1904-1956),historical,Africa,1904,1956,MOR,polity,3,4,7
NOR-1904-1913,Northern Nigeria (1904-1913),historical,Africa,1904,1913,NOR,polity,5,3,8
MAL-1905-1919,Mali (1905-1919),historical,Africa,1905,1919,MAL,polity,0,4,4
NIG-1905-1932,Niger (1905-1932),historical,Africa,1905,1932,NIG,polity,0,1,1
NOR-1905-1911,Northwestern Rhodesia (1905-1911),historical,Africa,1905,1911,NOR,polity,0,1,1
CEN-1906-1912,Central African Republic (1906-1912),historical,Africa,1906,1912,CEN,polity,0,4,4
CON-1906-1912,Congo (1906-1912),historical,Africa,1906,1912,CON,polity,3,4,7
SOU-1906-1913,Southern Nigeria (1906-1913),historical,Africa,1906,1913,SOU,polity,2,3,5
ETH-1907-1952,Ethiopia (1907-1952),historical,Africa,1907,1952,ETH,polity,4,4,8
KEN-1907-1924,Kenya (1907-1924),historical,Africa,1907,1924,KEN,polity,3,4,7
SUD-1910-1934,Sudan (1910-1934),historical,Africa,1910,1934,SUD,polity,4,4,8
UGA-1910-1926,Uganda (1910-1926),historical,Africa,1910,1926,UGA,polity,3,1,4
MAR-1911-1958,Morocco (to 1958),historical,Africa,1911,1958,MAR,polity,0,4,4
CEN-1912-1919,Central African Republic (1912-1919),historical,Africa,1912,1919,CEN,polity,3,1,4
CHA-1912-1919,Chad (1912-1919),historical,Africa,1912,1919,CHA,polity,3,2,5
CON-1912-1919,Congo (1912-1919),historical,Africa,1912,1919,CON,polity,3,1,4
GAB-1912-1919,Gabon (1912-1919),historical,Africa,1912,1919,GAB,polity,3,1,4
LIB-1912-1919,Libya (1912-1919),historical,Africa,1912,1919,LIB,polity,0,4,4
MAD-1912-1946,Madagascar (1912-1946),historical,Africa,1912,1946,MAD,polity,3,1,4
MAU-1912-1944,Mauritania (1912-1944),historical,Africa,1912,1944,MAU,polity,3,4,7
NIG-1914-1961,Nigeria (1914-1961),historical,Africa,1914,1961,NIG,polity,5,5,10
LIB-1919-1925,Libya (1919-1925),historical,Africa,1919,1925,LIB,polity,3,4,7
MAL-1919-1932,Mali (1919-1932),historical,Africa,1919,1932,MAL,polity,3,4,7
EGY-1922-1925,Egypt (1922-1925),historical,Africa,1922,1925,EGY,polity,0,4,4
KEN-1924-1926,Kenya (1924-1926),historical,Africa,1924,1926,KEN,polity,3,1,4
EGY-1925-1967,Egypt (1925-1967),historical,Africa,1925,1967,EGY,polity,3,4,7
LIB-1925-1934,Libya (1925-1934),historical,Africa,1925,1934,LIB,polity,3,1,4
COT-1932-1947,Côte d'Ivoire (1932-1947),historical,Africa,1932,1947,COT,polity,3,1,4
MAL-1932-1944,Mali (1932-1944),historical,Africa,1932,1944,MAL,polity,3,4,7
NIG-1932-1947,Niger (1932-1947),historical,Africa,1932,1947,NIG,polity,0,1,1
SUD-1934-2011,Sudan (1934-2011),historical,Africa,1934,2011,SUD,polity,4,1,5
MAL-1944-1947,Mali (1944-1947),historical,Africa,1944,1947,MAL,polity,3,4,7
MAU-1944-1975,Mauritania (1944-1975),historical,Africa,1944,1975,MAU,polity,3,1,4
MAL-1947-1959,Mali (1947-1959),historical,Africa,1947,1959,MAL,polity,0,4,4
ETH-1952-1993,Ethiopia (1952-1993),historical,Africa,1952,1993,ETH,polity,4,4,8
MOR-1956-1958,Morocco (1956-1958),historical,Africa,1956,1958,MOR,polity,3,2,5
SUD-1956-2011,Sudan (1956-2011),historical,Africa,1956,2011,SUD,polity,1,5,6
MAR-1958-1975,Morocco (1958-1975),historical,Africa,1958,1975,MAR,polity,3,4,7
SPA-1958-1975,Western Sahara (1958-1975),historical,Africa,1958,1975,SPA,polity,4,3,7
MAL-1959-1960,Mali (1959-1960),historical,Africa,1959,1960,MAL,polity,3,1,4
CMR-1960-1961,Cameroon (1960-1961),historical,Africa,1960,1961,CMR,polity,1,4,5
MRT-1960-1975,Mauritania (1960-1975),historical,Africa,1960,1975,MRT,polity,0,4,4
NGA-1960-1961,Nigeria (1960-1961),historical,Africa,1960,1961,NGA,polity,3,4,7
EGY-1967-1979,Egypt (1967-1979),historical,Africa,1967,1979,EGY,polity,3,4,7
MRT-1975-1979,Mauritania (1975-1979),historical,Africa,1975,1979,MRT,polity,3,4,7
MAR-1975-1979,Morocco (1975-1979),historical,Africa,1975,1979,MAR,polity,3,4,7
BRI-1885-1895,British Bechuanaland (to 1895),colonial,Africa,1885,1895,BRI,polity,1,1,2
BRI-1884-1960,British Protectorate (British Somaliland) (to 1960),colonial,Africa,1884,1960,BRI,polity,1,1,2
KAM-1884-1912,Cameroon (Kamerun) (to 1912),colonial,Africa,1884,1912,KAM,polity,0,4,4
CAP-1800-1895,Cape Colony (to 1895),colonial,Africa,1800,1895,CAP,polity,0,4,4
NAT-1843-1895,Natal (to 1895),colonial,Africa,1843,1895,NAT,polity,2,4,6
OIL-1884-1898,Oil Rivers Protectorate (to 1898),colonial,Africa,1884,1898,OIL,polity,2,1,3
SPA-1800-1982,Spanish North Africa,colonial,Africa,1800,1982,SPA,polity,2,1,3
SPA-1884-1912,Spanish West Africa (to 1912),colonial,Africa,1884,1912,SPA,polity,2,4,6
TRA-1856-1910,Transvaal (to 1910),colonial,Africa,1856,1910,TRA,polity,0,1,1
