area_code,year_start,year_end,polity_code,source_label,iso3,match_route,confidence,rows_observed
47,1961,2024,COK-1800-2025,Cook Islands,COK,iso-equal,high,42137
48,1961,2024,CRI-1800-2025,Costa Rica,CRI,iso-equal,high,216304
49,1961,2024,CUB-1800-2025,Cuba,CUB,iso-equal,high,171184
50,1961,2024,CYP-1879-2025,Cyprus,CYP,iso-equal,high,233146
51,1961,1992,F51-1947-1993,Czechoslovakia,CSK,manual-replace,high,92870
52,1992,2024,AZE-1991-2025,Azerbaijan,AZE,iso-equal,high,103326
53,1961,2024,BEN-1960-2025,Benin,BEN,iso-equal,high,176976
54,1961,2024,DNK-1920-2025,Denmark,DNK,iso-equal,high,255081
55,1961,2024,DMA-1800-2025,Dominica,DMA,iso-equal,high,149397
56,1961,2024,DOM-1800-2025,Dominican Republic,DOM,iso-equal,high,181837
57,1992,2024,BLR-1991-2025,Belarus,BLR,iso-equal,high,110351
58,1961,2024,ECU-1942-2025,Ecuador,ECU,iso-equal,high,221065
59,1961,1966,EGY-1925-1967,Egypt,EGY,iso-equal,high,243914
59,1967,1978,EGY-1967-1979,Egypt,EGY,iso-equal,high,243914
59,1979,2024,EGY-1979-2025,Egypt,EGY,iso-equal,high,243914
60,1961,2024,SLV-1821-2025,El Salvador,SLV,iso-equal,high,207960
61,1961,1967,GNQ-1886-1968,Equatorial Guinea,GNQ,iso-equal,high,23719
61,1968,2024,GNQ-1968-2025,Equatorial Guinea,GNQ,iso-equal,high,23719
62,1961,1992,ETH-1952-1993,Ethiopia PDR,ETH,iso-equal,high,85546
63,1992,2024,EST-1991-2025,Estonia,EST,iso-equal,high,117745
64,1961,2024,FRO-1800-2025,Faroe Islands,FRO,iso-equal,high,45036
65,1850,2025,FLK-1833-2025,Falkland Islands (Malvinas),FLK,registry,high,0
66,1961,2024,FJI-1800-2025,Fiji,FJI,iso-equal,high,203519
67,1961,2024,FIN-1940-2025,Finland,FIN,iso-equal,high,229594
68,1961,2024,FRA-1919-2025,France,FRA,iso-equal,high,269731
69,1961,2006,GUF-1946-2025,French Guiana,GUF,manual-route,high,8934
70,1961,2024,PYF-1800-2025,French Polynesia,PYF,iso-equal,high,170270
72,1961,1976,FRS-1884-1977,Djibouti,DJI,manual-route,high,140634
72,1977,2024,FRS-1977-2025,Djibouti,DJI,manual-route,high,140634
73,1992,2024,GEO-1991-2025,Georgia,GEO,iso-equal,high,101509
74,1961,2024,GAB-1960-2025,Gabon,GAB,iso-equal,high,162217
75,1961,2024,GMB-1800-2025,Gambia,GMB,iso-equal,high,141154
79,1961,1989,DEU-1949-1990,Germany,DEU,iso-equal,high,266337
79,1990,2024,DEU-1990-2025,Germany,DEU,iso-equal,high,266337
80,1992,2024,BIH-1992-2025,Bosnia and Herzegovina,BIH,iso-equal,high,103643
81,1961,2024,GHA-1957-2025,Ghana,GHA,iso-equal,high,191734
83,1961,2024,KIR-1800-2025,Kiribati,KIR,iso-equal,high,105746
84,1961,2024,GRC-1947-2025,Greece,GRC,iso-equal,high,268331
85,1850,2025,GRL-1800-2025,Greenland,GRL,registry,high,0
86,1961,2024,GRD-1800-2025,Grenada,GRD,iso-equal,high,162962
87,1961,2006,GLP-1816-2025,Guadeloupe,GLP,iso-equal,high,11766
88,1898,1949,GUM-1898-1950,Guam,GUM,registry,high,0
89,1961,2024,GTM-1821-2025,Guatemala,GTM,iso-equal,high,224016
90,1961,2024,GIN-1958-2025,Guinea,GIN,iso-equal,high,152542
91,1961,2024,GUY-1800-2025,Guyana,GUY,iso-equal,high,174251
93,1961,2024,HTI-1800-2025,Haiti,HTI,iso-equal,high,152458
95,1961,2024,HND-1800-2025,Honduras,HND,iso-equal,high,213241
96,1961,2024,HKG-1842-2025,"China, Hong Kong SAR",HKG,iso-equal,high,231444
97,1961,2024,HUN-1947-2025,Hungary,HUN,iso-equal,high,255854
98,1992,2024,HRV-1992-2025,Croatia,HRV,iso-equal,high,122938
99,1961,2024,ISL-1800-2025,Iceland,ISL,iso-equal,high,170791
100,1961,2024,IND-1949-2025,India,IND,iso-equal,high,254312
101,1961,1968,IDN-1949-1969,Indonesia,IDN,iso-equal,high,251399
101,1969,1975,IDN-1969-1976,Indonesia,IDN,iso-equal,high,251399
101,1976,2001,IDN-1976-2002,Indonesia,IDN,iso-equal,high,251399
101,2002,2024,IDN-2002-2025,Indonesia,IDN,iso-equal,high,251399
102,1961,2024,IRN-1828-2025,Iran (Islamic Republic of),IRN,iso-equal,high,218401
103,1961,2024,IRQ-1932-2025,Iraq,IRQ,iso-equal,high,176958
104,1961,2024,IRL-1921-2025,Ireland,IRL,iso-equal,high,246559
105,1961,1966,ISR-1948-1967,Israel,ISR,iso-equal,high,234671
105,1967,1978,ISR-1967-1979,Israel,ISR,iso-equal,high,234671
105,1979,2024,ISR-1979-2025,Israel,ISR,iso-equal,high,234671
106,1961,2024,ITA-1919-2025,Italy,ITA,iso-equal,high,278124
107,1961,2024,CIV-1960-2025,Côte d'Ivoire,CIV,iso-equal,high,208865
108,1992,2024,KAZ-1991-2025,Kazakhstan,KAZ,iso-equal,high,120824
109,1961,2024,JAM-1800-2025,Jamaica,JAM,iso-equal,high,199570
110,1961,2024,JPN-1952-2025,Japan,JPN,iso-equal,high,254381
112,1961,2024,JOR-1946-2025,Jordan,JOR,iso-equal,high,214926
113,1992,2024,KGZ-1991-2025,Kyrgyzstan,KGZ,iso-equal,high,103359
114,1961,1962,KEN-1926-1963,Kenya,KEN,iso-equal,high,239879
114,1963,2024,KEN-1963-2025,Kenya,KEN,iso-equal,high,239879
115,1961,2024,KHM-1953-2025,Cambodia,KHM,iso-equal,high,167371
116,1961,2024,PRK-1948-2025,Democratic People's Republic of Korea,PRK,iso-equal,high,112014
117,1961,2024,KOR-1948-2025,Republic of Korea,KOR,iso-equal,high,247177
118,1961,2024,KWT-1800-2025,Kuwait,KWT,iso-equal,high,188419
119,1992,2024,LVA-1991-2025,Latvia,LVA,iso-equal,high,120121
120,1961,2024,LAO-1954-2025,Lao People's Democratic Republic,LAO,iso-equal,high,136563
121,1961,2024,LBN-1944-2025,Lebanon,LBN,iso-equal,high,225832
122,1961,1965,LSO-1886-1966,Lesotho,LSO,iso-equal,high,109395
122,1966,2024,LSO-1966-2025,Lesotho,LSO,iso-equal,high,109395
123,1961,2024,LBR-1847-2025,Liberia,LBR,iso-equal,high,135600
124,1961,2024,LBY-1951-2025,Libya,LBY,iso-equal,high,81391
125,1850,2025,LIE-1800-2025,Liechtenstein,LIE,registry,high,0
126,1992,2024,LTU-1991-2025,Lithuania,LTU,iso-equal,high,123044
127,1991,2024,MHL-1874-2025,Marshall Islands,MHL,iso-equal,high,20782
128,1961,2024,MAC-1800-2025,"China, Macao SAR",MAC,iso-equal,high,185164
129,1961,2024,MDG-1882-2025,Madagascar,MDG,iso-equal,high,207040
130,1961,1963,MWI-1953-1964,Malawi,MWI,iso-equal,high,185999
130,1964,2024,MWI-1964-2025,Malawi,MWI,iso-equal,high,185999
131,1961,1962,MYS-1957-1963,Malaysia,MYS,manual-span,high,250837
131,1963,1964,MYS-1963-1965,Malaysia,MYS,iso-equal,high,250837
131,1965,2024,MYS-1965-2025,Malaysia,MYS,iso-equal,high,250837
132,1961,2024,MDV-1800-2025,Maldives,MDV,iso-equal,high,131539
133,1961,2024,MLI-1960-2025,Mali,MLI,iso-equal,high,181291
134,1961,2024,MLT-1800-2025,Malta,MLT,iso-equal,high,207406
135,1961,2006,MTQ-1816-2025,Martinique,MTQ,iso-equal,high,9541
136,1961,1974,MRT-1960-1975,Mauritania,MRT,iso-equal,high,148763
136,1975,1978,MRT-1975-1979,Mauritania,MRT,iso-equal,high,148763
136,1979,2024,MRT-1979-2025,Mauritania,MRT,iso-equal,high,148763
137,1961,2024,MUS-1800-2025,Mauritius,MUS,iso-equal,high,205404
138,1961,2024,MEX-1848-2025,Mexico,MEX,iso-equal,high,262735
140,1850,2025,MCO-1800-2025,Monaco,MCO,registry,high,0
141,1961,2024,MNG-1921-2025,Mongolia,MNG,iso-equal,high,138130
142,1850,2025,MSR-1800-2025,Montserrat,MSR,registry,high,0
143,1961,1974,MAR-1958-1975,Morocco,MAR,iso-equal,high,245737
143,1975,1978,MAR-1975-1979,Morocco,MAR,iso-equal,high,245737
143,1979,2024,MAR-1979-2025,Morocco,MAR,iso-equal,high,245737
144,1961,1974,MOZ-1891-1975,Mozambique,MOZ,iso-equal,high,181274
144,1975,2024,MOZ-1975-2025,Mozambique,MOZ,iso-equal,high,181274
145,1991,2024,FSM-1991-2025,Micronesia (Federated States of),FSM,iso-equal,high,17189
146,1992,2024,MDA-1991-2025,Republic of Moldova,MDA,iso-equal,high,111192
147,1961,1989,NAM-1920-1990,Namibia,NAM,iso-equal,high,172109
147,1990,2024,NAM-1990-2025,Namibia,NAM,iso-equal,high,172109
148,1961,2024,NRU-1888-2025,Nauru,NRU,iso-equal,high,21491
149,1961,2024,NPL-1816-2025,Nepal,NPL,iso-equal,high,193378
150,1961,2024,NLD-1830-2025,Netherlands (Kingdom of the),NLD,iso-equal,high,259019
151,1961,2010,ANT-1961-2010,Netherlands Antilles (former),ANT,iso-equal,high,61441
153,1961,2024,NCL-1800-2025,New Caledonia,NCL,iso-equal,high,161177
154,1992,2024,MKD-1991-2025,North Macedonia,MKD,iso-equal,high,115222
155,1961,2024,VUT-1800-2025,Vanuatu,VUT,iso-equal,high,132942
156,1961,2024,NZL-1840-2025,New Zealand,NZL,iso-equal,high,240961
157,1961,2023,NIC-1800-2025,Nicaragua,NIC,iso-equal,high,208187
158,1961,2024,NER-1960-2025,Niger,NER,iso-equal,high,180039
159,1961,2024,NGA-1961-2025,Nigeria,NGA,iso-equal,high,191847
160,1961,2024,NIU-1800-2025,Niue,NIU,iso-equal,high,22055
161,1914,2025,NFK-1914-2025,Norfolk Island,NFK,registry,high,0
162,1961,2024,NOR-1800-2025,Norway,NOR,iso-equal,high,231582
165,1961,1970,PAK-1949-1971,Pakistan,PAK,iso-equal,high,233714
165,1971,2024,PAK-1971-2025,Pakistan,PAK,iso-equal,high,233714
166,1961,1978,PAN-1903-1979,Panama,PAN,iso-equal,high,196061
166,1979,2024,PAN-1979-2025,Panama,PAN,iso-equal,high,196061
167,1993,2024,CZE-1993-2025,Czechia,CZE,iso-equal,high,126408
168,1961,1974,PNG-1949-1975,Papua New Guinea,PNG,iso-equal,high,87626
168,1975,2024,PNG-1975-2025,Papua New Guinea,PNG,iso-equal,high,87626
169,1961,2024,PRY-1938-2025,Paraguay,PRY,iso-equal,high,194468
170,1961,2024,PER-1942-2025,Peru,PER,iso-equal,high,239266
171,1961,2024,PHL-1800-2025,Philippines,PHL,iso-equal,high,234546
173,1961,2024,POL-1945-2025,Poland,POL,iso-equal,high,236068
174,1961,2024,PRT-1800-2025,Portugal,PRT,iso-equal,high,262025
175,1961,1973,GNB-1886-1974,Guinea-Bissau,GNB,iso-equal,high,127361
175,1974,2024,GNB-1974-2025,Guinea-Bissau,GNB,iso-equal,high,127361
176,1961,2024,TLS-1800-2025,Timor-Leste,TLS,iso-equal,high,109034
177,1961,2024,PRI-1800-2025,Puerto Rico,PRI,iso-equal,high,13095
178,1993,2024,ERI-1993-2025,Eritrea,ERI,iso-equal,high,14746
179,1961,2024,QAT-1800-2025,Qatar,QAT,iso-equal,high,67600
180,2000,2024,PLW-1991-2025,Palau,PLW,iso-equal,high,9051
181,1961,1963,SRH-1953-1964,Zimbabwe,ZWE,iso-equal,high,224061
181,1964,1979,ZWE-1964-1980,Zimbabwe,ZWE,iso-equal,high,224061
181,1980,2024,ZWE-1980-2025,Zimbabwe,ZWE,iso-equal,high,224061
182,1961,2006,REU-1946-2025,Réunion,REU,manual-route,high,13083
183,1961,2024,ROU-1947-2025,Romania,ROU,iso-equal,high,234453
184,1961,1961,RWA-1922-1962,Rwanda,RWA,iso-equal,high,162034
184,1962,2024,RWA-1962-2025,Rwanda,RWA,iso-equal,high,162034
185,1992,2013,RUS-1991-2014,Russian Federation,RUS,iso-equal,high,127905
185,2014,2024,RUS-2014-2025,Russian Federation,RUS,iso-equal,high,127905
186,1992,2005,SCG-1992-2006,Serbia and Montenegro,SCG,iso-equal,high,46585
187,1850,1967,SHN-1834-1967,"Saint Helena, Ascension and Tristan da Cunha",SHN,registry,high,0
188,1961,2024,KNA-1800-2025,Saint Kitts and Nevis,KNA,iso-equal,high,138883
189,1961,2024,LCA-1838-2025,Saint Lucia,LCA,iso-equal,high,166519
190,1850,2025,SPM-1816-2025,Saint Pierre and Miquelon,SPM,registry,high,0
191,1961,2024,VCT-1833-2025,Saint Vincent and the Grenadines,VCT,iso-equal,high,148884
192,1850,2025,SMR-1800-2025,San Marino,SMR,registry,high,0
193,1961,2024,STP-1800-2025,Sao Tome and Principe,STP,iso-equal,high,113416
194,1961,2024,SAU-1924-2025,Saudi Arabia,SAU,iso-equal,high,225841
195,1961,2024,SEN-1960-2025,Senegal,SEN,iso-equal,high,206509
196,1961,2024,SYC-1903-2025,Seychelles,SYC,iso-equal,high,73947
197,1961,2024,SLE-1961-2025,Sierra Leone,SLE,iso-equal,high,142058
198,1992,2024,SVN-1992-2025,Slovenia,SVN,iso-equal,high,127691
199,1993,2024,SVK-1993-2025,Slovakia,SVK,iso-equal,high,124405
200,1961,1962,SGP-1946-1963,Singapore,SGP,iso-equal,high,100174
200,1963,1964,SGP-1963-1965,Singapore,SGP,iso-equal,high,100174
200,1965,2024,SGP-1965-2025,Singapore,SGP,iso-equal,high,100174
201,1961,2024,SOM-1960-2025,Somalia,SOM,iso-equal,high,62074
202,1961,2024,ZAF-1910-2025,South Africa,ZAF,iso-equal,high,253610
203,1961,2024,ESP-1800-2025,Spain,ESP,iso-equal,high,278591
205,1958,1975,ESH-1958-1975,Western Sahara,ESH,registry,high,0
205,1975,2025,ESH-1975-2025,Western Sahara,ESH,registry,high,0
206,1961,2011,SUD-1956-2011,Sudan (former),SDN,manual-replace,high,139921
207,1961,1974,SUR-1954-1975,Suriname,SUR,iso-equal,high,152943
207,1975,2024,SUR-1975-2025,Suriname,SUR,iso-equal,high,152943
208,1992,2024,TJK-1991-2025,Tajikistan,TJK,iso-equal,high,71520
209,1961,2024,SWZ-1894-2025,Swaziland,SWZ,iso-equal,high,180663
210,1961,2024,SWE-1905-2025,Sweden,SWE,iso-equal,high,245456
211,1961,2024,CHE-1800-2025,Switzerland,CHE,iso-equal,high,242756
212,1961,1966,SYR-1946-1967,Syrian Arab Republic,SYR,iso-equal,high,113504
212,1967,2024,SYR-1967-2025,Syrian Arab Republic,SYR,iso-equal,high,113504
213,1992,2024,TKM-1991-2025,Turkmenistan,TKM,iso-equal,high,63651
214,1961,2024,TWN-1945-2025,"China, Taiwan Province of",TWN,iso-equal,high,252667
215,1961,1963,TZA-1961-1964,United Republic of Tanzania,TZA,iso-equal,high,219893
215,1964,2024,TZA-1964-2025,United Republic of Tanzania,TZA,iso-equal,high,219893
216,1961,2024,THA-1909-2025,Thailand,THA,iso-equal,high,252783
217,1961,2024,TGO-1960-2025,Togo,TGO,iso-equal,high,186647
219,1961,2024,TON-1800-2025,Tonga,TON,iso-equal,high,46569
220,1961,2024,TTO-1800-2025,Trinidad and Tobago,TTO,iso-equal,high,211626
221,1961,2024,OMN-1856-2025,Oman,OMN,iso-equal,high,144474
222,1961,2024,TUN-1881-2025,Tunisia,TUN,iso-equal,high,226193
223,1961,2024,TUR-1920-2025,Türkiye,TUR,iso-equal,high,258437
225,1961,2024,ARE-1892-2025,United Arab Emirates,ARE,iso-equal,high,201802
226,1961,1961,UGA-1926-1962,Uganda,UGA,iso-equal,high,200589
226,1962,2024,UGA-1962-2025,Uganda,UGA,iso-equal,high,200589
227,1961,2024,TUV-1800-2025,Tuvalu,TUV,iso-equal,high,24864
228,1961,1991,F228-1945-1991,USSR,SUN,manual-replace,high,91616
229,1961,2024,GBR-1921-2025,United Kingdom of Great Britain and Northern Ireland,GBR,iso-equal,high,258802
230,1992,2013,UKR-1991-2014,Ukraine,UKR,iso-equal,high,117919
230,2014,2024,UKR-2014-2025,Ukraine,UKR,iso-equal,high,117919
231,1961,2024,USA-1959-2025,United States of America,USA,iso-equal,high,275022
233,1961,2024,BFA-1960-2025,Burkina Faso,BFA,iso-equal,high,173575
234,1961,2024,URY-1828-2025,Uruguay,URY,iso-equal,high,212716
235,1992,2024,UZB-1991-2025,Uzbekistan,UZB,iso-equal,high,94197
236,1961,2024,VEN-1821-2025,Venezuela (Bolivarian Republic of),VEN,iso-equal,high,232770
237,1961,1974,F237-1954-1975,Viet Nam,VNM,iso-equal,high,170522
237,1975,2024,VNM-1975-2025,Viet Nam,VNM,iso-equal,high,170522
238,1993,2024,ETH-1993-2025,Ethiopia,ETH,iso-equal,high,102786
239,1850,2025,VGB-1800-2025,British Virgin Islands,VGB,registry,high,0
240,1850,1916,DWI-1800-1917,United States Virgin Islands,VIR,registry,high,0
240,1917,2025,VIR-1917-2025,United States Virgin Islands,VIR,registry,high,0
244,1961,2024,WSM-1900-2025,Samoa,WSM,iso-equal,high,141994
248,1961,1990,F248-1947-1991,Yugoslav SFR,YUG,manual-replace,high,112967
248,1991,1991,F248-1991-1992,Yugoslav SFR,YUG,manual-replace,high,112967
249,1961,1989,F249-1918-1990,Yemen,YEM,iso-equal,high,187189
249,1990,2024,YEM-1990-2025,Yemen,YEM,iso-equal,high,187189
250,1961,2024,COD-1960-2025,Democratic Republic of the Congo,COD,iso-equal,high,81027
251,1961,1963,NRH-1953-1964,Zambia,ZMB,iso-equal,high,199421
251,1964,2024,ZMB-1964-2025,Zambia,ZMB,iso-equal,high,199421
255,2000,2024,BEL-1831-2025,Belgium,BEL,iso-equal,high,102668
256,2000,2024,LUX-1839-2025,Luxembourg,LUX,iso-equal,high,94451
272,2006,2007,SRB-2006-2008,Serbia,SRB,iso-equal,high,68875
272,2008,2024,SRB-2008-2025,Serbia,SRB,iso-equal,high,68875
273,2006,2024,MNE-2006-2025,Montenegro,MNE,iso-equal,high,56042
276,2012,2024,SDN-2011-2025,Sudan,SDN,iso-equal,high,35724
277,2012,2024,SSD-2011-2025,South Sudan,SSD,iso-equal,high,17383
299,1961,2024,PSE-1948-2025,Palestine,PSE,iso-equal,high,32534
