polity_code,polity_name,start_year,end_year,polity_type,iso3_code,cow_code,continent,wiki_status,last_ingest,polygon_source,polygon_feature_id,polygon_feature_year,polygon_status,polygon_area_km2,predecessor,successor
ZNZ-1890-1963,Zanzibar Protectorate,1890,1963,national,ZNZ,NA,Africa,draft,2026-06-24,cshapes-2.0,,,unassigned,2650,,TZA-1964-2025
ZUL-1816-1879,Zulu Kingdom,1816,1879,national,NA,NA,Africa,draft,2026-04-15,paine-2024,Zulu,,assigned,,,NAT-1843-1895; ZAF-1828-2025
ZWE-1890-1891,Zimbabwe,1890,1891,national,ZWE,552,Africa,draft,2026-04-13,cshapes-2.0,552,1965,assigned,,NDB-1823-1894,ZWE-1891-1900
ZWE-1891-1900,Zimbabwe (1891-1900),1891,1900,national,ZWE,552,Africa,draft,2026-04-13,cshapes-2.0,552,1891,assigned,,NDB-1823-1894; ZWE-1890-1891,ZWE-1900-1953
ZWE-1900-1953,Zimbabwe (1900-1953),1900,1953,national,ZWE,552,Africa,draft,2026-04-13,cshapes-2.0,552,1900,assigned,,ZWE-1891-1900,FRN-1953-1964
ZWE-1964-1980,Zimbabwe (1964-1980),1964,1980,national,ZWE,552,Africa,draft,2026-04-13,cshapes-2.0,552,1965,assigned,,FRN-1953-1964,ZWE-1980-2025
ZWE-1980-2025,Zimbabwe (1980-2025),1980,2025,national,ZWE,552,Africa,draft,2026-04-13,cshapes-2.0,552,1965,assigned,,ZWE-1964-1980,
GUF-1816-1946,French Guiana (Colony),1816,1946,national,GUF,120,South America,draft,2026-06-26,cshapes-2.0,120,1886,assigned,83711,,GUF-1946-2025
GUF-1946-2025,French Guiana (Overseas Department),1946,2025,national,GUF,120,South America,draft,2026-06-26,cshapes-2.0,120,1946,assigned,83711,GUF-1816-1946,
GUM-1898-1950,Territory of Guam,1898,1950,colonial,GUM,,Oceania,draft,2026-06-26,gadm-4.1,GUM,2023,assigned,550,,GUM-1950-2025
BSW-1841-1963,Sarawak (Brooke Raj / Crown Colony),1841,1963,national,MYS,824,Asia,draft,2026-06-26,cshapes-2.0,824,1889,assigned,124276,,MYS-1963-1965
TRS-1947-1954,Free Territory of Trieste,1947,1954,national,NA,NA,Europe,draft,2026-06-26,constructed,NA,1947,estimate,737,ITA-1919-2025,ITA-1919-2025
BRL-1945-1949,Berlin (Allied Occupation),1945,1949,city-territory,NA,NA,Europe,draft,2026-06-26,cshapes-2.0,greater-berlin-1920,1945,unassigned,892,DEU-1945-1949,WBL-1949-1990; EBL-1949-1990
WBL-1949-1990,West Berlin,1949,1990,city-territory,NA,NA,Europe,draft,2026-06-26,cshapes-2.0,west-berlin-sectors,1949,unassigned,480,BRL-1945-1949,DEU-1990-2025
BMU-1684-1968,British Crown Colony of Bermuda,1684,1968,national,BMU,NA,North America,draft,2026-06-26,gadm-4.1-adm0,BMU,,proxy,54,,
ALK-1867-1959,Territory of Alaska,1867,1959,national,USA,,North America,draft,2026-06-26,gadm-level1,USA.2_1,2020,assigned,1518800,F228-1856-1905,USA-1959-2025
SBZ-1938-1949,Eastern Germany / Soviet Occupation Zone,1938,1949,national,NA,265,Europe,draft,2026-06-26,cshapes-2.0,265,1949,assigned,109272,DEU-1938-1945,F77-1949-1990
DWI-1800-1917,Danish West Indies,1800,1917,colonial,VIR,,North America,draft,2026-06-26,gadm-4.1-adm0,VIR,,proxy,346,,VIR-1917-2025
VIR-1917-2025,United States Virgin Islands,1917,2025,colonial,VIR,,North America,draft,2026-06-26,gadm-4.1-adm0,VIR,,assigned,346,DWI-1800-1917,
IDN-JVM-1949-1951,Java and Madura (within Indonesia 1949-1951),1949,1951,subnational,IDN,,Asia,draft,2026-06-26,gadm-4.1,IDN.7_1+IDN.10_1+IDN.11_1+IDN.29_1,,proxy,132000,,
IDN-BLB-1949-1951,Bali and Lombok (within Indonesia 1949-1951),1949,1951,subnational,IDN,,Asia,draft,2026-06-26,gadm-4.1,IDN.1_1+IDN.20_1,,proxy,10505,,
VGB-1800-2025,British Virgin Islands,1800,2025,national,VGB,,North America,draft,2026-06-26,gadm-4.1-adm0,VGB,,assigned,153,,
KRS-1910-1945,Korea South (within Japanese Chosen),1910,1945,colonial,KOR,NA,Asia,draft,2026-06-26,cshapes-2.0,732,1948,assigned,100210,,KOR-1948-2025
ASM-1900-2025,Territory of American Samoa,1900,2025,colonial,ASM,,Oceania,draft,2026-06-26,gadm-4.1,ASM,2023,assigned,199,,
