polity_name,start_year,end_year,area
Guinea,1894,NA,246059.454283705
Guinea-Bissau,NA,NA,33371.8820545385
Guyana,NA,NA,211506.963977607
Haiti,NA,NA,27219.8656574403
Hawaii,1898,1959,16733.5914276982
Herzegovina,NA,1908,10070.5104856935
Honduras,NA,NA,112632.22695701
Hungary,1918,1919,269757.579209241
Hungary,1919,1920,257046.091574996
Hungary,1920,1938,92737.3964195819
Hungary,1938,1947,108484.590147282
Hungary,1947,NA,92737.3964195819
Iceland,NA,NA,102217.946624026
India,NA,1893,4663223.48477542
India,1893,1914,4830383.30101681
India,1914,1937,4905157.51156513
India,1937,1947,4236400.61104551
India,1947,1949,3053738.68745849
India,1949,NA,3159619.17669663
Indonesia,NA,1889,1885553.69481893
Indonesia,1889,1949,1885553.69883243
Indonesia,1949,1969,1473383.78428481
Indonesia,1969,1976,1885553.69883243
Indonesia,1976,2002,1900641.42345699
Indonesia,2002,NA,1885553.69881429
Inini,1930,1946,70955.9094712461
Iran (Persia),NA,NA,1622521.2147141
Iraq,1920,NA,436397.479158248
Ireland,1921,NA,69293.8948917279
Israel,1948,1967,20736.734886908
Israel,1967,1979,88737.5885368855
Israel,1979,NA,28098.399187061
Italian Somaliland,1889,1924,371947.055415695
Italian Somaliland,1924,1960,466775.190162389
Italy/Sardinia,NA,1919,284187.360862238
Italy/Sardinia,1919,NA,299546.010334552
Jamaica,NA,NA,11062.6627416984
Jammu and Kashmir,1947,1949,105880.48923809
Japan,NA,NA,370776.333174647
Jordan,1920,1923,45190.0942979683
Jordan,1923,NA,89339.9265552844
Kamerun,NA,1912,512762.749250868
Kamerun,1912,1919,803471.806533444
"Kashmir (North, Azad)",1947,1949,81684.711238802
Kazakhstan,1991,NA,2715091.84173948
Kenya,1888,1891,471761.802381409
Kenya,1891,1894,1046130.70902393
Kenya,1894,1902,663063.352399017
Kenya,1902,1906,775997.663547786
Kenya,1907,1924,638714.549254061
Kenya,1924,1926,543886.414507384
Kenya,1926,NA,584495.084280953
Khiva,NA,1920,101465.708018362
Korea,NA,1945,219243.441391312
"Korea, People's Republic of",1945,NA,122070.63463029
"Korea, Republic of",1945,NA,97173.3205510489
Kosovo,2008,NA,10719.2585764106
Kuwait,1961,NA,16771.9459683215
Kyrgyz Republic,1991,NA,199287.099746979
Lagos,NA,1906,71889.6753328376
Laos,1893,NA,230623.65790306
Latvia,1918,1940,65641.8201281472
Latvia,1991,NA,64325.9480170079
Lebanon,1920,NA,10212.4229704268
Lesotho,NA,NA,30553.1713786855
Liberia,NA,NA,96414.83524839
Libya,1912,1919,883072.245933079
Libya,1919,1925,1007584.16534066
Libya,1925,1934,1527460.12365389
Libya,1934,NA,1620295.91841937
Lithuania,1918,1920,83501.3645065988
Lithuania,1920,1940,55600.4243972234
Lithuania,1991,NA,64725.5366552738
Luxembourg,NA,NA,2573.00295845841
Macedonia (FYROM/North Macedonia),1991,NA,25424.2326059035
Madagascar (Malagasy),NA,1912,594635.660708632
Madagascar (Malagasy),1912,1946,596343.441849964
Madagascar (Malagasy),1946,NA,594635.660708632
Malawi,1891,NA,118930.525132109
Malaysia,1946,1963,132076.254145053
Malaysia,1963,1965,330391.341504424
Malaysia,1965,NA,329844.17926763
Maldives,1887,NA,33.7706651632716
Mali,1905,1919,1742569.789959
Mali,1919,1932,1469174.69551854
Mali,1932,1944,1518030.95538447
Mali,1944,1947,1305245.08036736
Mali,1947,1959,1256388.82050143
Mali,1959,1960,1453102.83544863
Mali,1960,NA,1256388.82050143
Malta,NA,NA,291.828472696287
Martinique,NA,NA,1152.06659685479
Mauritania,1904,1912,921493.94336983
Mauritania,1912,1944,828676.153120122
Mauritania,1944,1975,1041462.02813724
Mauritania,1975,1979,1139510.54996422
Mauritania,1979,NA,1041462.02813724
Mauritius,NA,NA,2139.39481276563
Mexico,NA,NA,1961161.30120686
Moldova,1991,NA,33589.7674073796
Mongolia,1921,NA,1558810.19460689
Montenegro,NA,1913,9932.76794423582
Montenegro,1913,1918,15879.8251979639
Montenegro,2006,NA,13985.6008942967
Morocco,NA,1904,374695.136835686
Morocco,1904,1956,350586.514563817
Morocco,1956,1958,374695.136835686
Morocco,1958,1975,403428.448180998
Morocco,1975,1979,575028.431766516
Morocco,1979,NA,673076.953593499
Mozambique,NA,1891,635869.154069405
Mozambique,1891,NA,788886.484749455
Myanmar (Burma),1937,NA,668756.900519544
Namibia,NA,NA,826873.134853045
Natal,NA,1895,43650.9647368538
Natal,1895,1910,72409.0835772439
Nepal,NA,NA,147384.687850135
Netherlands,NA,NA,34801.6986332514
New Caledonia and Dependencies,NA,NA,23948.5554123422
