m49_name,m49_code,start_year,end_year,notes,is_old
Samoa,882,NA,NA,Current ISO 3166-1 country,FALSE
Yemen,887,1990,NA,Merged from Democratic Yemen and Yemen,FALSE
Zambia,894,NA,NA,Current ISO 3166-1 country,FALSE
Southern Asia,034,2005,NA,Formerly part of South-Central Asia (numerical code 062),FALSE
Central Asia,143,2005,NA,Formerly part of South-Central Asia (numerical code 062),FALSE
Developed regions,514,2021,NA,"The distinction of ""Developed regions"" and ""Developing regions"" has been removed from the Other groupings of M49",FALSE
Developing regions,515,2021,NA,"The distinction of ""Developed regions"" and ""Developing regions"" has been removed from the Other groupings of M49",FALSE
Sudan (old),736,NA,2011,Old Sudan code before South Sudan independence,TRUE
Netherlands Antilles,530,1986,2010,Federation dissolved in 2010,TRUE
Netherlands Antilles (original),532,NA,1986,Original code before Aruba separation,TRUE
Czechoslovakia,200,NA,1993,Split into Czech Republic and Slovakia,TRUE
Democratic Yemen,720,NA,1990,Merged with Yemen to form unified Yemen,TRUE
Ethiopia (old),230,NA,1993,Before Eritrea independence,TRUE
Federal Republic of Germany,280,NA,1990,Unified with German Democratic Republic to form Germany,TRUE
German Democratic Republic,278,NA,1990,Unified with Federal Republic of Germany to form Germany,TRUE
Pacific Islands (Trust Territory),582,NA,1990,"Dissolved into Northern Mariana Islands, Micronesia, Marshall Islands, and Palau",TRUE
Serbia and Montenegro,891,1992,2006,Split into Serbia and Montenegro,TRUE
Socialist Federal Republic of Yugoslavia,890,NA,1992,Split into multiple countries,TRUE
South-Central Asia,062,NA,2005,Split into Southern Asia and Central Asia,TRUE
USSR,810,NA,1991,Dissolved into 15 independent countries,TRUE
Yemen (old),886,NA,1990,Merged with Democratic Yemen to form unified Yemen,TRUE
Canton and Enderbury Islands,128,NA,1982,Merged with Kiribati,TRUE
Johnston Island,396,NA,1982,Merged into United States Minor Outlying Islands,TRUE
Midway Islands,488,NA,1982,Merged into United States Minor Outlying Islands,TRUE
United States miscellaneous Pacific Islands,849,NA,1982,Merged into United States Minor Outlying Islands,TRUE
Wake Island,872,NA,1982,Merged into United States Minor Outlying Islands,TRUE
Gaza Strip,274,NA,1982,Discontinued,TRUE
Dronning Maud Land,216,NA,1982,Withdrawn from ISO 3166-1,TRUE
"France, Metropolitan",249,NA,1982,Withdrawn from ISO 3166-1,TRUE
Neutral Zone,536,NA,1982,Withdrawn from ISO 3166-1,TRUE
Panama (before Canal Zone),590,NA,1979,Panama before adding Panama Canal Zone in 1979,TRUE
Saint Kitts-Nevis-Anguilla,658,NA,1982,Withdrawn from ISO 3166-1,TRUE
"German Democratic Republic, Berlin",282,NA,1982,"UN Statistics Division code, never officially included in ISO 3166-1",TRUE
"Germany, West Berlin",284,NA,1982,"UN Statistics Division code, never officially included in ISO 3166-1",TRUE
Ryukyu Islands,650,NA,1982,"UN Statistics Division code, never officially included in ISO 3166-1",TRUE
Spanish North Africa,728,NA,1982,"UN Statistics Division code, never officially included in ISO 3166-1 (code now used by South Sudan)",TRUE
