continent,polity_name,imports_start,imports_end,exports_start,exports_end,population_start,population_end,population_estimate,notes
Asia,French India,1800,1938,1830,1938,1830,,,
Asia,French Indochina,1887,1938,1850,1938,1850,,,
Asia,Fujairah,1886,1938,,,,,,1816-1886 Sharjah
Asia,Herat,1800,1862,,,,,,1863-1938 Afghanistan; joint estimate with Afghanistan
Asia,Hong-Kong,1841,1938,,,,,,1816-1839 China
Asia,India,1800,1938,1800,1938,1800,,,
Asia,Iraq,1921,1938,1921,1938,1921,,,1800-1918 Ottoman Empire
Asia,Japan,1800,1938,1860,1938,1860,,,
Asia,Jordan,1918,1938,,,,,,1800-1918 Ottoman Empire; joint estimate with Palestine
Asia,Khiva,1800,1873,,,,,,1873-1938 Russia and Soviet Union
Asia,Kiautchou,1898,1922,,,,,,1800-1898 and 1922-1938 China; joint estimate with China
Asia,Kokand,1800,1883,,,,,,1873-1938 Russia and Soviet Union
Asia,Korea,1800,1938,1876,1938,1876,,,
Asia,Kuwait,1800,1938,,,,,,population in 1920
Asia,Kwang-Chou-Wan,1898,1938,,,,,,population in 1926; 1800-1898 and 1922-1938 China; joint estimate with China
Asia,Kwantung (Port Arthur),1898,1938,,,,,,"1800-1898  China, 1898-1905 Russia, 1905-1938 Japan"
Asia,Maldive,1800,1938,,,,,,
Asia,Manchukuo,1932,1938,1932,1938,1932,,,NA; 1800-1932 China
Asia,Mongolia,1911,1938,,,,,,1800-1911 China
Asia,Nepal,1800,1938,1850,1938,1850,,,
Asia,North Yemen,1918,1938,1918,1938,1918,,,1871-1918 Ottoman Empire; 1918-1938 Included with Saudi Arabia
Asia,Oman,1800,1938,,,,,,
Asia,Ottoman Empire/Turkey,1800,1938,1850,1938,1830,,,
Asia,Palestine/Jordan,1918,1938,1920,1938,1920,,,population in 1920; 1800-1918 Ottoman Empire
Asia,Persia (Iran),1800,1938,1850,1938,1850,,,
Asia,Philippines,1800,1938,1810,1938,1810,,,
Asia,Portuguese India,1800,1938,1850,1938,1850,,,
Asia,Quatar,1800,1938,,,,,,1871-1916 Ottoman Empire
Asia,Ras al Khaimah,1919,1938,,,,,,1900-1919 Sharjah
Asia,Sabah (British Borneo),1888,1938,1850,1938,1850,,,1816-1888 Brunei
Asia,Sarawak,1841,1938,1850,1938,1850,,,
Asia,Saudi Arabia,1924,1938,1918,1938,1918,,,1800-1918 Ottoman Empire
Asia,Sharjah,1800,1938,,,,,,
Asia,Siam (Thailand),1800,1938,1850,1938,1850,,,
Asia,Sikkim,1800,1938,,,,,,
Asia,Straits Settlement,1826,1922,,,,,,1922-1938 British Malaya; joint estimate with British Malaya
Asia,Syria and Lebanon,1918,1938,1921,1938,1921,,,population 1919; 1800-1918 Ottoman Empire
Asia,Tibet,1800,1938,,,,,,Estimated inside China
Asia,Timor,1800,1938,,,,,,
Asia,Umm al Qawain,1892,1938,,,,,,
Asia,Yunnan,1856,1871,,,,,,1800-1857 and 1872-1938 China; joint estimate with China
Europe,Albania,1913,1938,1913,1938,1913,,,1800-1913 Ottoman Empire
Europe,Andorra,1800,1938,,,,,,
Europe,Austria,1918,1938,1920,1937,1920,,,1800-1918 Austria-Hungary
Europe,Austria-Hungary,1800,1918,1830,1918,1830,,,
Europe,Belgium,1831,1938,1830,1938,1830,,,
Europe,Bulgaria,1878,1938,1879,1938,1879,,,1800-1878 Ottoman Empire
Europe,Crete,1898,1913,1898,1913,1898,,,1800-1897 Ottoman Empire; 1914-1938 Greece
Europe,Cyprus,1879,1938,1878,1938,1878,,,"1800-1878 Ottoman Empire, then British colony"
Europe,Czechoslovakia,1918,1937,1920,1937,1920,,,1800-1918 Austria-Hungary
Europe,Denmark,1800,1938,1841,1938,1818,,,
Europe,Dodecanese Is.,1912,1938,,,,,,"1800-1912 Ottoman Empire, then Italian colony"
Europe,Duchy Modena,1800,1860,,,,,,1861-1938 Italy; joint estimation with Italy
Europe,Duchy Parma,1800,1860,,,,,,1861-1938 Italy; joint estimation with Italy
Europe,Estonia,1918,1938,1920,1938,1920,,,1800-1918 Russia
Europe,Faroe Is,1800,1938,,,,,,
Europe,Finland,1917,1938,1850,1938,1812,,,1800-1812 Russia
Europe,France,1800,1938,1800,1938,1800,,,
Europe,Germany/Zollverein,1800,1938,1836,1938,1821,,,
Europe,Gibraltar,1800,1938,,,,,,
Europe,Iceland,1800,1938,1849,1938,1849,,,
Europe,Ionian islands,1815,1862,1850,1862,1850,,,1864-1938 Greece
Europe,Ireland,1921,1938,1922,1938,1922,,,1800-1921 United Kingdom
Europe,Italy,1861,1938,1850,1938,1823,,,
Europe,Kingdom Two sicilies,1800,1860,,,,,,1861-1938 Italy; joint estimation with Italy
Europe,Latvia,1918,1938,1920,1938,1920,,,1800-1918 Russia
Europe,Lithuania,1918,1938,1920,1938,1920,,,1800-1918 Russia
Europe,Luxembourg,1800,1938,,,,,,
Europe,Malta,1800,1938,1850,1938,1850,,,
Europe,Monaco,1800,1938,,,,,,
Europe,Montenegro,1878,1918,,,,,,1800-1878 Ottoman Empire; 1918-1938 Yugoslavia
Europe,Netherlands,1800,1938,1800,1938,1800,,,
Europe,Norway,1800,1938,1830,1938,1830,,,
Europe,Papal States,1800,1870,,,,,,1871-1938 Italy; joint estimation with Italy
Europe,Poland,1918,1938,1922,1938,1922,,,"1800-1918 divided between  Russia,  Austria-Hungary and  Germany"
Europe,Portugal,1800,1938,1800,1938,1800,,,
Europe,Romania,1859,1938,1859,1938,1859,,,1800-1876 Ottoman Empire
Europe,Russia/USSR,1800,1938,1850,1938,1800,,,
Europe,Sardinia,1800,1860,,,,,,1861-1938 Italy; joint estimation with Italy
Europe,Serbia/Yugoslavia,1816,1938,1850,1938,1830,,,1800-1815 Ottoman Empire
Europe,Spain,1800,1938,1821,1938,1821,,,
Europe,Sweden,1800,1938,1800,1938,1800,,,
Europe,Switzerland,1800,1938,1850,1938,1830,,,
Europe,Tuscany,1800,1860,,,,,,1861-1938 Italy; joint estimation with Italy
Europe,Two Sicilies,1800,1860,,,,,,1861-1938 Italy; joint estimation with Italy
Europe,United Kingdom,1800,1938,1800,1938,1800,,,
Oceania,American Samoa,1900,1938,,,,,,Joint estimate US settlement Oceania
Oceania,Australia Commonwealth,1901,1940,1826,1938,1826,,,
Oceania,British New Guinea,1884,1938,,,,,,Joint estimation british settlement Oceania; since 1905 administered by Australia; now Papua New Guinea
Oceania,British settlement Oceania,1839,1938,1850,1938,1850,,,
Oceania,Caroline Island,1885,1938,,,,,,Spanish colony 1885-1899; German 1899-1914; Japan mandate 1914-1938; joint estimation with German colonies Oceania
Oceania,Cook Island,1893,1901,,,,,,1901-1938 New Zealand; Joint estimation New Zealand
Oceania,Dutch new Guinea,1898,1938,,,,,,Present-day Indonesia
Oceania,Fiji,1874,1938,,,,,,Joint estimation British settlement Oceania
Oceania,French Settlements in Oceania,1844,1938,1850,1938,1850,,,"Polities included: New Caledonia, Polynesia"
Oceania,Gambier Island,1881,1903,,,,,,Joint estimation French Settlements Oceania
Oceania,German colonies Oceania,1884,1938,1850,1938,1850,,,1915-1938 mandate Ldn (different colonial powers(
Oceania,Gilbert and Ellice Island,1892,1938,,,,,,Joint estimation British settlement Oceania
