country,item,unit,year_before,year_after,source_before,source_after,value_before,value_after,ratio
paraguay,horses,heads,1959,1960,juan,mitchell,292000.000,684000.000,2.3425
guatemala,swine pigs,heads,1920,1921,mitchell,juan,41000.000,95586.000,2.3314
colombia,goats,heads,1954,1955,juan,mitchell,294000.000,684000.000,2.3265
colombia,asses,heads,1954,1955,juan,mitchell,282000.000,650000.000,2.3050
paraguay,cattle,heads,1948,1949,juan,mitchell,3365000.000,7730000.000,2.2972
paraguay,goats,heads,1958,1959,juan,mitchell,62000.000,142000.000,2.2903
paraguay,sheep,heads,1958,1959,juan,mitchell,386000.000,884000.000,2.2902
peru,horses,heads,1947,1948,juan,mitchell,453000.000,1036000.000,2.2870
peru,swine pigs,heads,1959,1960,juan,mitchell,1432000.000,3250000.000,2.2696
paraguay,maize,tonnes,1945,1946,juan,mitchell,74100.000,168000.000,2.2672
chile,tobacco unmanufactured,ha,1910,1911,juan,iia,445.000,1003.000,2.2539
uruguay,sheep,heads,1946,1947,juan,mitchell,19559000.000,44000000.000,2.2496
colombia,mules and hinnies,heads,1954,1955,juan,mitchell,410000.000,918000.000,2.2390
peru,sheep,heads,1947,1948,juan,mitchell,16000000.000,35496000.000,2.2185
colombia,horses,heads,1954,1955,juan,mitchell,1159000.000,2570000.000,2.2174
nigeria,groundnuts with shell,tonnes,1945,1946,iia,mitchell,255800.000,560000.000,2.1892
peru,sheep,heads,1959,1960,juan,mitchell,14760000.000,32018000.000,2.1692
peru,cattle,heads,1954,1955,juan,mitchell,3198000.000,6878000.000,2.1507
austria,hops,ha,1932,1933,iia,juan,47.000,100.000,2.1277
paraguay,horses,heads,1947,1948,juan,mitchell,333000.000,708000.000,2.1261
uruguay,swine pigs,heads,1951,1952,juan,mitchell,259000.000,550000.000,2.1236
algeria,oil olive virgin,tonnes,1914,1915,mitchell,iia,22000.000,46557.900,2.1163
malta,cotton lint,tonnes,1920,1921,juan,iia,50.000,105.700,2.1140
colombia,cassava fresh,ha,1950,1951,juan,mitchell,76000.000,160000.000,2.1053
united states of america,flax fibre and tow,ha,1934,1935,mitchell,iia,405000.000,848000.000,2.0938
peru,mules and hinnies,heads,1959,1960,juan,mitchell,185000.000,386000.000,2.0865
colombia,cattle,heads,1954,1955,juan,mitchell,11994000.000,25000000.000,2.0844
peru,asses,heads,1959,1960,juan,mitchell,420000.000,870000.000,2.0714
chile,sheep,heads,1959,1960,juan,mitchell,6129000.000,12686000.000,2.0698
uruguay,sheep,heads,1948,1949,juan,mitchell,22000000.000,45292000.000,2.0587
colombia,sheep,heads,1954,1955,juan,mitchell,1114000.000,2256000.000,2.0251
ireland,rye,ha,1943,1944,juan,iia,2000.000,4000.000,2.0000
uruguay,horses,heads,1956,1957,juan,mitchell,557000.000,1114000.000,2.0000
paraguay,horses,heads,1953,1954,juan,mitchell,354000.000,708000.000,2.0000
peru,cattle,heads,1946,1947,juan,mitchell,2662000.000,5324000.000,2.0000
guatemala,cotton seed,tonnes,1943,1944,iia,mitchell,500.000,1000.000,2.0000
united states of america,flax fibre and tow,ha,1950,1951,mitchell,juan,1655000.000,1000.000,0.0006
