reporter_code,reporter,partner_code,partner,item_code,item,year,exp_t,imp_t,ratio,prod_t,reporter_imports_t,avail_t,exp_over_avail,imp_over_avail,impossible_side,plausible_side,whep_keeps_plausible
216,Thailand,68,France,165,Molasses,1993,2.0,72309.0,36154.5,1623000.0,30.0,1623030.0,0.0,0.045,none,undetermined,unknown
10,Australia,110,Japan,162,Raw cane or beet sugar (centrifugal only),2007,20.0,702580.0,35129.0,5026332.0,2005.0,5028337.0,0.0,0.14,none,undetermined,unknown
56,Dominican Republic,229,United Kingdom of Great Britain and Northern Ireland,489,Plantains and cooking bananas,2013,105384.0,3.0,35128.0,908027.99,0.0,908027.99,0.116,0.0,none,undetermined,unknown
231,United States of America,138,Mexico,271,"Rapeseed or canola oil, crude",1990,4.0,140345.0,35086.25,33920.0,213168.0,247088.0,0.0,0.568,none,undetermined,unknown
21,Brazil,150,Netherlands (Kingdom of the),165,Molasses,2009,33696.0,1.0,33696.0,14100000.0,0.0,14100000.0,0.002,0.0,none,undetermined,unknown
44,Colombia,33,Canada,486,Bananas,2019,1.67,54470.42,32617.018,2914419.0,1860.11,2916279.11,0.0,0.019,none,undetermined,unknown
97,Hungary,223,Türkiye,44,Barley,2017,1.55,50188.07,32379.4,1416376.0,27125.24,1443501.24,0.0,0.035,none,undetermined,unknown
67,Finland,162,Norway,271,"Rapeseed or canola oil, crude",2009,1.0,32299.0,32299.0,112586.8,5482.0,118068.8,0.0,0.274,none,undetermined,unknown
27,Bulgaria,229,United Kingdom of Great Britain and Northern Ireland,15,Wheat,2017,1.03,32864.67,31907.447,6132671.0,60519.33,6193190.33,0.0,0.005,none,undetermined,unknown
56,Dominican Republic,229,United Kingdom of Great Britain and Northern Ireland,489,Plantains and cooking bananas,2018,103735.37,3.27,31723.355,1017978.13,0.74,1017978.87,0.102,0.0,none,undetermined,unknown
54,Denmark,210,Sweden,1043,"Pig fat, rendered",2002,31511.0,1.0,31511.0,68000.0,34466.0,102466.0,0.308,0.0,none,undetermined,unknown
255,Belgium,68,France,157,Sugar beet,2010,31284.0,1.0,31284.0,4464778.0,12022.0,4476800.0,0.007,0.0,none,undetermined,unknown
170,Peru,231,United States of America,162,Raw cane or beet sugar (centrifugal only),1990,2.0,62419.0,31209.5,521507.0,0.0,521507.0,0.0,0.12,none,undetermined,unknown
211,Switzerland,68,France,900,"Whey, dry",2008,62267.0,2.0,31133.5,65000.0,7580.0,72580.0,0.858,0.0,none,undetermined,unknown
150,Netherlands (Kingdom of the),202,South Africa,15,Wheat,2014,31119.4,1.0,31119.4,1304054.0,4185612.7199999997,5489666.72,0.006,0.0,none,undetermined,unknown
