source,country,item,year,area_ha,prod_t
iia,eritrea,"tobacco, unmanufactured",1934,0.0,3500.0
iia,algeria,lemons and limes,1935,0.0,3500.0
iia,algeria,lemons and limes,1934,0.0,3400.0
iia,cyprus,"tobacco, unmanufactured",1937,0.0,3400.0
iia,benin,"tobacco, unmanufactured",1933,0.0,3000.0
juan,argentina,fibre crops nes,1937,0.0,2832.0
iia,australia,other sugar crops n.e.c.,1937,0.0,2700.0
iia,eritrea,"tobacco, unmanufactured",1936,0.0,2700.0
iia,eritrea,"tobacco, unmanufactured",1935,0.0,2500.0
iia,eritrea,"tobacco, unmanufactured",1937,0.0,2100.0
iia,australia,other sugar crops n.e.c.,1936,0.0,2100.0
iia,cyprus,lemons and limes,1936,0.0,2100.0
iia,australia,other sugar crops n.e.c.,1935,0.0,2100.0
iia,american samoa,"tobacco, unmanufactured",1934,0.0,2000.0
iia,dominica,lemons and limes,1934,0.0,2000.0
iia,dominica,lemons and limes,1935,0.0,2000.0
iia,australia,other sugar crops n.e.c.,1934,0.0,1900.0
iia,australia,other sugar crops n.e.c.,1933,0.0,1700.0
iia,south korea,grapes,1937,0.0,1700.0
iia,cyprus,lemons and limes,1935,0.0,1400.0
iia,micronesia (federated states of),"tobacco, unmanufactured",1933,0.0,1300.0
iia,cyprus,lemons and limes,1933,0.0,1277.0
iia,micronesia (federated states of),"tobacco, unmanufactured",1935,0.0,1100.0
iia,micronesia (federated states of),"tobacco, unmanufactured",1934,0.0,1000.0
iia,cyprus,lemons and limes,1934,0.0,900.0
iia,belize,grapefruit (inc. pomelos),1934,0.0,800.0
iia,india,cotton seed,1936,0.0,800.0
iia,australia,olives,1936,0.0,700.0
iia,mauritania,"tobacco, unmanufactured",1935,0.0,700.0
iia,suriname,oranges,1933,0.0,700.0
iia,belize,grapefruit (inc. pomelos),1933,0.0,700.0
iia,suriname,oranges,1935,0.0,600.0
iia,mauritania,"tobacco, unmanufactured",1934,0.0,500.0
iia,australia,olives,1935,0.0,500.0
iia,suriname,oranges,1934,0.0,500.0
iia,montserrat,lemons and limes,1934,0.0,500.0
iia,australia,olives,1937,0.0,400.0
iia,dominica,oranges,1936,0.0,400.0
iia,australia,olives,1934,0.0,400.0
iia,cyprus,"beans, dry",1934,0.0,400.0
iia,micronesia (federated states of),"tobacco, unmanufactured",1936,0.0,400.0
iia,zambia,oranges,1937,0.0,300.0
iia,zambia,oranges,1936,0.0,300.0
iia,french polynesia,"tobacco, unmanufactured",1936,0.0,300.0
iia,tunisia,flax fibre and tow,1933,0.0,300.0
iia,new zealand,flax fibre and tow,1937,0.0,300.0
iia,french polynesia,"tobacco, unmanufactured",1937,0.0,300.0
iia,algeria,"beans, dry",1935,0.0,300.0
