volume,country,product,variable,unit,year,grid,verdict,paired_variable,paired_value,implied_yield_bound,ref_p10,ref_p90,ref_n,factor_outside,paired_vs_series_median,series_zeros,series_positives
iia_1938_39,british transjordan,tobacco,area,hectares,1937,1000,grid_can_explain,production,9700,19.4,44.1233,174.4262,325,0.1112,4.85,1,0
iia_1938_39,ireland,tobacco,area,hectares,1938,1000,grid_can_explain,production,9400,18.8,44.1233,174.4262,325,0.1078,0.4845,6,0
iia_1938_39,romania,hops,area,hectares,1938,1000,grid_can_explain,production,900,1.8,5.4452,17.1425,90,0.105,0.9,1,5
iia_1938_39,british swaziland,tobacco,area,hectares,1936,1000,grid_can_explain,production,9100,18.2,44.1233,174.4262,325,0.1043,0.7368,5,0
iia_1938_39,dutch guiana,citrus fruits: oranges,area,hectares,1935,1000,grid_can_explain,production,600,1.2,0.16,11.7368,35,0.1022,1,3,0
iia_1938_39,new zealand,rye,area,hectares,1933,1000,grid_can_explain,production,100,0.2,0.6,1.9862,243,0.1007,0.6667,5,0
iia_1938_39,new zealand,rye,area,hectares,1934,1000,grid_can_explain,production,100,0.2,0.6,1.9862,243,0.1007,0.6667,5,0
iia_1938_39,new zealand,rye,area,hectares,1936,1000,grid_can_explain,production,100,0.2,0.6,1.9862,243,0.1007,0.6667,5,0
iia_1938_39,french laos,blackberries,area,hectares,1933,1000,grid_can_explain,production,500,1,1.27,10.045,18,0.0996,1,2,0
iia_1938_39,dutch guiana,citrus fruits: oranges,area,hectares,1934,1000,grid_can_explain,production,500,1,0.16,11.7368,35,0.0852,0.8333,3,0
iia_1938_39,british‑french cameroon,tobacco,area,hectares,1937,1000,grid_can_explain,production,7000,14,44.1233,174.4262,325,0.0803,0.9524,4,0
iia_1938_39,british mauritius,tea,area,hectares,1935,1000,grid_can_explain,production,40,0.08,0.201,1,91,0.08,1.6667,5,0
iia_1938_39,british mauritius,tea,area,hectares,1937,1000,grid_can_explain,production,38,0.076,0.201,1,91,0.076,1.5833,5,0
iia_1938_39,british dominica,citrus fruits: oranges,area,hectares,1936,1000,grid_can_explain,production,400,0.8,0.16,11.7368,35,0.0682,1.3333,4,0
iia_1938_39,british malta,"citrus fruits: lemons, mandarins, oranges",area,hectares,1933,1000,grid_can_explain,production,400,0.8,1.42,11.7836,9,0.0679,1.3333,5,0
iia_1938_39,british mauritius,tea,area,hectares,1936,1000,grid_can_explain,production,31,0.062,0.201,1,91,0.062,1.2917,5,0
iia_1938_39,french cochinchina,blackberries,area,hectares,1937,1000,grid_can_explain,production,300,0.6,1.27,10.045,18,0.0597,0.2857,2,3
iia_1938_39,british dominica,citrus fruits: grapefruits,area,hectares,1933,1000,grid_can_explain,production,200,0.4,1.05,7.6567,12,0.0522,2,4,0
iia_1938_39,british dominica,citrus fruits: oranges,area,hectares,1933,1000,grid_can_explain,production,300,0.6,0.16,11.7368,35,0.0511,1,4,0
iia_1938_39,british dominica,citrus fruits: oranges,area,hectares,1934,1000,grid_can_explain,production,300,0.6,0.16,11.7368,35,0.0511,1,4,0
