raw_label,assigned_modern,iso3,layer_b_label,kind,n_labels_on_target,parent_label,n_sub_labels,notes_countries,notes,mixing_observed,fingerprint_note,dominant_raw_label,dominant_share,territory_signal
french west africa: senegal,Senegal,SEN,senegal,shares_target,3,,0,0,,no,french senegal 95%,french senegal,0.95,clean
senegal,Senegal,SEN,senegal,shares_target,3,,0,0,,no,french senegal 95%,french senegal,0.95,clean
french west africa: french sudan,Mali,MLI,mali,shares_target,2,,0,0,,no,french sudan 98%,french sudan,0.98,redirected
french indochina: tonkin,Viet Nam,VNM,viet nam,shares_target,5,,0,0,,no,french tonkin 94%,french tonkin,0.94,redirected
upper senegal and niger,Mali,MLI,mali,shares_target,2,,0,0,,no,french sudan 98%,french sudan,0.98,redirected
french equatorial africa,Congo,COG,congo,whole_with_sub_siblings,3,,2,0,"Included Chad, Gabon, Central African Republic (Oubangui-Chari), Republic of Congo",no,french equatorial africa 91%,french equatorial africa,0.91,redirected
french equatorial africa: gabon and middle congo,Congo,COG,congo,sub_of_sibling,3,french equatorial africa,0,0,,no,french equatorial africa 91%,french equatorial africa,0.91,redirected
french equatorial africa: middle congo and oubangui-chari,Central African Republic,CAF,central african republic,shares_target,2,,0,0,Republic of Congo and Central African Republic,no,french equatorial africa: oubangui‑chari 100%,french equatorial africa: oubangui‑chari,1.00,redirected
french equatorial africa: oubangui-chari and chad,Chad,TCD,chad,shares_target,2,,0,0,Central African Republic and Chad,no,french equatorial africa: chad 100%,french equatorial africa: chad,1.00,redirected
indochina,Viet Nam,VNM,viet nam,whole_with_sub_siblings,5,,2,0,,no,french tonkin 94%,french tonkin,0.94,redirected
french cameroon,Cameroon,CMR,cameroon,shares_target,3,,0,0,,no,british‑french cameroon 83%,british‑french cameroon,0.83,clean
syria and lebanon: lebanon,Lebanon,LBN,lebanon,shares_target,3,,0,0,,no,french lebanon 92%,french lebanon,0.92,clean
syria,Syrian Arab Republic,SYR,syrian arab republic,whole_with_sub_siblings,3,,2,0,,yes,french syria and lebanon + french syria (union 92%),french syria and lebanon,0.49,mixed
syria and lebanon: syria,Syrian Arab Republic,SYR,syrian arab republic,sub_of_sibling,3,syria,0,0,,yes,french syria and lebanon + french syria (union 92%),french syria and lebanon,0.49,mixed
syria and lebanon,Syrian Arab Republic,SYR,syrian arab republic,sub_of_sibling,3,syria,1,0,,yes,french syria and lebanon + french syria (union 92%),french syria and lebanon,0.49,mixed
french togo,Ghana,GHA,ghana,shares_target,3,,0,0,,no,german togoland + british gold coast (union 90%),german togoland,0.63,mixed
french establishments in oceania,French Polynesia,PYF,french polynesia,whole_with_sub_siblings,2,,1,0,,yes,french oceania + french oceania: makatea island (union 100%),french oceania,0.61,mixed
mayotte and dependencies,Mayotte,MYT,,one_to_one,1,,0,0,,unknown,"label not measured (absent, or under --min-rows)",,,unknown
indochina: annam,Viet Nam,VNM,viet nam,sub_of_sibling,5,indochina,0,0,,no,french tonkin 94%,french tonkin,0.94,redirected
indochina: cambodia,Cambodia,KHM,cambodia,shares_target,2,,0,0,,yes,french cambodia 100%,french cambodia,1.00,clean
indochina: cochinchina,Viet Nam,VNM,viet nam,sub_of_sibling,5,indochina,0,0,,no,french tonkin 94%,french tonkin,0.94,redirected
indochina: laos,Lao People's Democratic Republic,LAO,,one_to_one,1,,0,0,,unknown,"label not measured (absent, or under --min-rows)",,,unknown
french morocco,Morocco,MAR,morocco,whole_with_sub_siblings,3,,1,0,,no,french morocco 99%,french morocco,0.99,clean
tunisia,Tunisia,TUN,tunisia,one_to_one,1,,0,0,,no,french tunisia 100%,french tunisia,1.00,clean
france,France,FRA,france,whole_with_sub_siblings,3,,1,0,,no,france 84%,france,0.84,clean
france: alsace,France,FRA,france,sub_of_sibling,3,france,0,0,Only Alsace,no,france 84%,france,0.84,clean
french equatorial africa: middle congo,Congo,COG,congo,sub_of_sibling,3,french equatorial africa,0,0,,no,french equatorial africa 91%,french equatorial africa,0.91,redirected
french equatorial africa: oubangui-chari,Central African Republic,CAF,central african republic,shares_target,2,,0,0,,no,french equatorial africa: oubangui‑chari 100%,french equatorial africa: oubangui‑chari,1.00,redirected
french somaliland,Djibouti,DJI,djibouti,one_to_one,1,,0,0,,no,french somali coast 100%,french somali coast,1.00,redirected
french west africa,Niger,NER,niger,multi_country,2,,1,8,Senegal; French Sudan (now Mali); French Guinea (now Guinea); Ivory Coast (Côte d'Ivoire); Dahomey (now Benin); Niger; Upper Volta (now Burkina Faso); Mauritania,no,french niger + french west africa (union 100%),french niger,0.69,mixed
french morocco: tanger,Morocco,MAR,morocco,sub_of_sibling,3,french morocco,0,0,,no,french morocco 99%,french morocco,0.99,clean
togo,Togo,TGO,togo,one_to_one,1,,0,0,,no,german togoland 100%,german togoland,1.00,redirected
"czechoslovakia: bohemia, moravia and silesia",Czechia,CZE,czech republic,sub_of_sibling,2,czechoslovakia,0,0,"Only bohemia, moravia and silesia",no,czechoslovakia 93%,czechoslovakia,0.93,redirected
samoa,Samoa,WSM,samoa,shares_target,3,,0,0,,no,new zealand western samoa + british samoa (union 100%),new zealand western samoa,0.72,mixed
protectorate of southwest africa,Namibia,NAM,namibia,shares_target,3,,0,0,,no,german south west africa 100%,german south west africa,1.00,redirected
territory of southwest africa,Namibia,NAM,namibia,shares_target,3,,0,0,,no,german south west africa 100%,german south west africa,1.00,redirected
germany,Germany,DEU,germany,shares_target,2,,0,0,,no,germany 78%,germany,0.78,clean
gilbert and ellice islands,Kiribati,KIR,kiribati,shares_target,2,,0,0,,no,british ocean island 100%,british ocean island,1.00,redirected
luxembourg,Luxembourg,LUX,luxembourg,one_to_one,1,,0,0,,no,luxembourg 61%,luxembourg,0.61,clean
greece,Greece,GRC,greece,shares_target,2,,0,0,,no,greece 75%,greece,0.75,clean
british west indies: grenada,Grenada,GRD,grenada,one_to_one,1,,0,0,,no,british grenada 100%,british grenada,1.00,clean
hungary,Hungary,HUN,hungary,one_to_one,1,,0,0,,no,hungary 84%,hungary,0.84,clean
ireland,Ireland,IRL,ireland,one_to_one,1,,0,0,,no,ireland 100%,ireland,1.00,clean
australia islands,Australia,AUS,australia,sub_of_sibling,5,australia,0,0,,no,australia 92%,australia,0.92,clean
italian east africa,Ethiopia,ETH,ethiopia,shares_target,2,,0,0,,yes,australia 100%,australia,1.00,redirected
