polity_code,start_year,end_year,cow_code,polity_type,our_source,our_km2,border_verdict,n_reference_borders,reference_covers,reference_bookkeeping_steps,reference_km2_at_start,reference_km2_at_end,max_step_ratio,change_years,reference_iou,source_gap_pct
KGZ-1991-2025,1991,2025,703,national,cshapes-2.0,199548,stable_where_covered,1,1991-2019,0,199565,199565,,,0.997,-0.01
KHM-1800-1904,1800,1904,,national,cshapes-2.0,130348,no_reference,0,,0,,,,,,
KHM-1904-1907,1904,1907,,national,cshapes-2.0,149038,no_reference,0,,0,,,,,,
KHM-1907-1953,1907,1953,811,national,cshapes-2.0,181798,stable_confirmed,1,1907-1952,0,181751,181751,,,0.998,0.03
KHM-1953-2025,1953,2025,811,national,cshapes-2.0,181798,stable_where_covered,1,1953-2019,0,181751,181751,,,0.998,0.03
KIR-1800-2025,1800,2025,946,national,gadm-4.1-adm0,1010,no_reference,0,,0,,,,,,
KJM-1947-1972,1947,1972,7506,disputed,cshapes-2.0,105783,stable_where_covered,1,1947-1949,0,105845,105845,,,0.997,-0.06
KNA-1800-2025,1800,2025,60,national,gadm-4.1-adm0,263,no_reference,0,,0,,,,,,
KOR-1800-1945,1800,1945,730,national,constructed,219372,stable_where_covered,1,1886-1944,1,219398,219398,,,0.996,-0.01
KOR-1945-1948,1945,1948,730,national,cshapes-2.0,219402,no_reference,0,,0,,,,,,
KOR-1948-2025,1948,2025,732,national,cshapes-2.0,97097,stable_where_covered,1,1948-2019,0,97195,97195,,,0.996,-0.1
KOS-2008-2025,2008,2025,347,national,cshapes-2.0,10735,stable_where_covered,1,2008-2019,0,10737,10737,,,0.992,-0.02
KRS-1910-1945,1910,1945,,colonial,cshapes-2.0,97097,no_reference,0,,0,,,,,,
KRS-1945-1948,1945,1948,,colonial,constructed,93864,no_reference,0,,0,,,,,,
KSJ-1800-1911,1800,1911,,national,paine-2024,18372,no_reference,0,,0,,,,,,
KWT-1800-2025,1800,2025,690,national,cshapes-2.0,16798,stable_where_covered,1,1961-2019,0,16753,16753,,,0.989,0.27
KZM-1800-1899,1800,1899,,national,paine-2024,16244,no_reference,0,,0,,,,,,
LAO-1893-1954,1893,1954,812,national,cshapes-2.0,229987,stable_confirmed,1,1893-1953,1,229905,229905,,,0.997,0.04
