ratio,item,unit,whep_code,polity_name,source,median_value,area,n,item_median_intensity,assertion_keys,known_flow,flow_origin_iso3
249.77459117734352,"tobacco, unmanufactured",tonnes,MUS-1800-2025,Mauritius,iia,26900.0,2105.7089060802027,23,0.051145295153688305,mauritius|iia|1909-1945,,
247.54333034293774,lemons and limes,tonnes,LCA-1838-2025,Saint Lucia,iia,4500.0,613.7318536183993,17,0.02961983397613065,saint lucia|iia|1909-1945,,
245.06590407132646,r_fao_population_1952_10_18,1000 people,GIB-1800-2025,Gibraltar,fao1952,21.0,7.148236781705717,2,0.011987744350629912,gibraltar|fao1952|1937-1951,,
241.8652974026304,wheel tractors agriculture,number,GBR-1921-2025,United Kingdom,fao1952,293370.0,243963.92905649156,3,0.004971832868108485,united kingdom|fao1952|1937-1951; united kingdom great britain|fao1952|1937-1951,,
239.77691453007398,cacao,1000 tonnes,STP-1800-2025,Sao Tome and Principe,fao1952,8.05,1012.3640165028369,4,3.316284742483804e-05,sao tome and principe|fao1952|1947-1951,,
237.48949150029588,commercial phosphoric acid,1000 tonnes,LUX-1839-2025,Luxembourg,fao1952,38.25,2590.86862192315,6,6.216438630535554e-05,luxembourg|fao1952|1937-1951,,
237.0173695799845,oranges,tonnes,CPV-1886-1975,Cape Verde (Portuguese colony),iia,75000.0,3938.947183464104,5,0.08033428485482855,cabo verde|iia|1933-1944,,
233.96078405061192,other berries and fruits of the genus vaccinium n.e.c.,ha,ITA-1919-2025,Italy,iia,2627000.0,300310.4439810905,1,0.03738923407431606,italy|iia|1919-1945,,
232.79185119525312,"eggs, hen, in shell",tonnes,MLT-1800-2025,Malta,iia,3611.3,291.8686793911891,2,0.05315061583743646,malta|iia|1909-1945,,
232.46435877638376,sweet potatoes,tonnes,TWN-1945-2025,Taiwan,mitchell,2532500.0,35993.63707155193,10,0.30266858335749697,china taiwan province of|mitchell|1945-1960,,
231.72279012358422,sugar raw centrifugal,tonnes,CAR-1920-1945,Caroline Islands (Japanese Mandate),iia,54350.0,762.8389496108164,8,0.3074665960637625,micronesia|iia|1932-1942; palau|iia|1930-1932,,
224.71727010968553,"tobacco, unmanufactured",tonnes,DOM-1800-2025,Dominican Republic,iia,555501.2,48332.9008946207,4,0.051145295153688305,dominican republic|iia|1910-1942,,
222.317549406971,soybeans,tonnes,MAN-1932-1945,Manchukuo (1932-1945),mitchell,3785000.0,791708.3482136662,13,0.02150437935902786,china manchuria province of|mitchell|1932-1944,,
222.006226868161,pesticides copper sulphate,tonnes,JAM-1800-2025,Jamaica,fao1952,1361.0,11001.039856468184,3,0.0005572617459487168,british west indies jamaica|fao1952|1938-1951; jamaica|fao1952|1949-1951; br west indies jamaica|fao1952|1949-1951,,
221.55828586515017,wheel tractors agriculture,number,LIE-1800-2025,Liechtenstein,fao1952,195.0,177.0231619716852,3,0.004971832868108485,liechtenstein|fao1952|1937-1951,,
221.0827275666972,lemons limes other citrus,1000 tonnes,DMA-1800-2025,Dominica,fao1952,8.0,746.7822563482973,3,4.8455288370861826e-05,british west indies dominica|fao1952|1949-1951,,
218.80435194663838,p,tonnes,CAR-1920-1945,Caroline Islands (Japanese Mandate),iia,52411.0,762.8389496108164,4,0.3140028796474058,micronesia|iia|1932-1942; palau|iia|1930-1932,,
215.24970665831637,"tobacco, unmanufactured",tonnes,PHL-1800-2025,Philippines,iia,3212700.0,291824.6113461748,5,0.051145295153688305,philippines|iia|1909-1945,,
212.4737674545027,sweet potatoes yams,1000 tonnes,RYU-1945-1972,Ryukyu Islands (US Administration),fao1952,350.0,2336.8360149164137,3,0.0007049113258430571,ryukyu islands|fao1952|1949-1951,,
209.72290177717335,cacao,1000 tonnes,GRD-1800-2025,Grenada,fao1952,2.5,359.45318636546244,4,3.316284742483804e-05,british west indies grenada|fao1952|1949-1951; windward islands grenada|fao1952|1950-1950; br west indies grenada|fao1952|1951-1951,,
208.90954511186288,sugar raw centrifugal,tonnes,KNA-1800-2025,Saint Kitts and Nevis,iia,16891.0,262.96572046118183,36,0.3074665960637625,saint kitts and nevis|iia|1909-1945,,
206.9426530201555,tea,1000 tonnes,LKA-1800-2025,Sri Lanka,fao1952,141.9,65954.96220180139,4,1.039644612091253e-05,ceylon|fao1952|1937-1951,,
204.8744080751186,"tobacco, unmanufactured",tonnes,BEL-1831-2025,Belgium,iia,321602.3,30692.03925557064,4,0.051145295153688305,belgium|iia|1909-1945,,
204.2267157960471,soybeans,tonnes,MAN-1945-1950,"Manchuria (region, 1945-1950)",mitchell,3477000.0,791708.3482136662,1,0.02150437935902786,china manchuria province of|mitchell|1945-1948,,
202.78195554173482,groundnuts,1000 tonnes,GMB-1800-2025,Gambia,fao1952,66.0,10627.738270113981,3,3.062483645856704e-05,gambia|fao1952|1937-1951,,
201.61533917890603,pesticides sulphur dust,tonnes,GRC-1947-2025,Greece (1947-2025),fao1952,15700.0,129841.0864350498,1,0.000599741278161007,greece|fao1952|1947-1951,,
200.0599192707893,"tobacco, unmanufactured",tonnes,JPN-1895-1945,Japanese Empire,iia,6410500.0,626507.2861088028,5,0.051145295153688305,japan|iia|1909-1944; palau|iia|1915-1918,,
198.99310511673977,"tobacco, unmanufactured",tonnes,CUB-1800-2025,Cuba,iia,1110108.5,109074.11801961382,4,0.051145295153688305,cuba|iia|1909-1936,,
192.07155357492326,pesticides 2 4 d,tonnes,HAWI-1898-1959,Territory of Hawaii,fao1952,645.0,16631.877439866264,3,0.0002019088659052706,hawaii|fao1952|1937-1951,,
