verify_order,key,label,source,candidate,status,route,rows,years_observed,n_distinct_years,candidate_period,polity_type,wiki_status,polygon_status,verified_equal_reachable,nested_reporting,inclusion_impossible,boundary_year,alias_precedent_confidence,banked_precedent,tier
490,trieste uk ans us|fao1952|1949-1951,Trieste UK ans US,fao1952,TRS-1947-1954,pending,applied_alias,5,1949-1951,3,1947-1954,national,draft,unassigned,False,False,False,False,high,False,precedent
491,trieste us uk|fao1952|1949-1951,Trieste us uk,fao1952,TRS-1947-1954,pending,applied_alias,5,1949-1951,3,1947-1954,national,draft,unassigned,False,False,False,False,high,False,precedent
492,bulgaria|mitchell|1913-1917,bulgaria,mitchell,BGR-1913-1918,pending,applied_alias,4,1913-1917,4,1913-1918,national,draft,assigned,False,False,False,False,high,False,precedent
493,libya cyrenaica|fao1952|1948-1948,Libya Cyrenaica,fao1952,CYR-1943-1949,pending,applied_alias,4,1948-1948,1,1943-1949,national,draft,proxy,False,False,False,False,high,False,precedent
494,pacific islands u s|fao1952|1949-1951,Pacific Islands (U S,fao1952,TTPI-1947-1994,pending,applied_alias,4,1949-1951,3,1947-1994,colonial,draft,proxy,False,False,False,False,high,False,precedent
495,romania|mitchell|1940-1943,romania,mitchell,ROU-1940-1947,pending,applied_alias,4,1940-1943,4,1940-1947,national,reviewed,proxy,True,False,False,False,high,False,precedent
496,cape of good hope|mitchell|1897-1904,cape of good hope,mitchell,CAP-1895-1910,pending,applied_alias,3,1897-1904,3,1895-1910,national,draft,assigned,False,False,False,False,high,False,precedent
497,japan|iia|1945-1945,japan,iia,JPN-1945-1952,pending,applied_alias,3,1945-1945,1,1945-1952,national,draft,assigned,False,False,False,False,high,False,precedent
498,libya|iia|1943-1945,libya,iia,LBY-1943-1949,pending,applied_alias,3,1943-1945,3,1943-1949,national,draft,assigned,False,False,False,False,high,False,precedent
499,libya|mitchell|1949-1949,libya,mitchell,LBY-1949-1951,pending,applied_alias,3,1949-1949,1,1949-1951,national,draft,assigned,False,False,False,False,high,False,precedent
