verify_order,key,label,source,candidate,status,route,rows,years_observed,n_distinct_years,candidate_period,polity_type,wiki_status,polygon_status,verified_equal_reachable,nested_reporting,inclusion_impossible,boundary_year,alias_precedent_confidence,banked_precedent,tier
727,eswatini|iia|1922-1944,eswatini,iia,SWZ-1894-2025,pending,iso,34,1922-1944,18,1894-2025,national,draft,assigned,False,False,False,False,,False,bulk
728,equatorial guinea|iia|1910-1945,equatorial guinea,iia,GNQ-1886-1968,pending,iso,32,1910-1945,23,1886-1968,national,draft,assigned,False,False,False,False,,False,bulk
729,zambia|mitchell|1912-1952,zambia,mitchell,NRH-1911-1953,pending,iso,32,1912-1952,32,1911-1953,colonial,draft,assigned,False,False,False,False,,False,bulk
730,ivory coast|iia|1913-1931,ivory coast,iia,CIV-1902-1932,pending,iso,30,1913-1931,5,1902-1932,national,draft,assigned,False,False,False,False,,False,bulk
731,ghana|mitchell|1957-1960,ghana,mitchell,GHA-1957-2025,pending,iso,29,1957-1960,4,1957-2025,national,draft,assigned,False,False,False,False,,False,bulk
732,jordan|mitchell|1946-1960,jordan,mitchell,JOR-1946-2025,pending,iso,29,1946-1960,15,1946-2025,national,draft,assigned,False,False,False,False,,False,bulk
733,paraguay|iia|1932-1936,paraguay,iia,PRY-1932-1938,pending,iso,29,1932-1936,5,1932-1938,national,draft,assigned,False,False,False,False,,False,bulk
734,bolivia|iia|1929-1934,bolivia,iia,BOL-1909-1938,pending,iso,28,1929-1934,5,1909-1938,national,draft,assigned,False,False,False,False,,False,bulk
735,guinea bissau|mitchell|1924-1960,guinea-bissau,mitchell,GNB-1886-1974,pending,iso,28,1924-1960,28,1886-1974,national,draft,assigned,False,False,False,False,,False,bulk
736,north korea|mitchell|1949-1960,north korea,mitchell,PRK-1948-2025,pending,iso,28,1949-1960,8,1948-2025,national,draft,assigned,False,False,False,False,,False,bulk
737,libya|mitchell|1951-1960,libya,mitchell,LBY-1951-2025,pending,iso,27,1951-1960,8,1951-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
738,brazil|mitchell|1879-1902,brazil,mitchell,BRA-1800-1903,pending,iso,26,1879-1902,24,1800-1903,national,draft,polygon_vintage_drift,False,False,False,False,,False,bulk
739,ethiopia|mitchell|1909-1935,ethiopia,mitchell,ETH-1907-1936,pending,iso,26,1909-1935,26,1907-1936,national,draft,assigned,False,False,False,False,,False,bulk
740,gabon|iia|1912-1918,gabon,iia,GAB-1912-1919,pending,iso,26,1912-1918,7,1912-1919,national,draft,assigned,False,False,False,False,,False,bulk
741,hungary|iia|1940-1943,hungary,iia,HUN-1940-1944,pending,iso,25,1940-1943,4,1940-1944,national,draft,proxy,False,False,False,False,,False,bulk
742,peru|iia|1909-1921,peru,iia,PER-1909-1922,pending,iso,25,1909-1921,13,1909-1922,national,reviewed,assigned,True,False,False,False,,False,bulk
743,peru|mitchell|1884-1908,peru,mitchell,PER-1884-1909,pending,iso,25,1884-1908,25,1884-1909,national,draft,assigned,False,False,False,False,,False,bulk
744,brazil|juan|1903-1908,brazil,juan,BRA-1903-1909,pending,iso,24,1903-1908,6,1903-1909,national,draft,assigned,False,False,False,False,,False,bulk
745,gabon|iia|1919-1932,gabon,iia,GAB-1919-1960,pending,iso,24,1919-1932,10,1919-1960,national,draft,assigned,False,False,False,False,,False,bulk
746,kenya|iia|1913-1923,kenya,iia,KEN-1907-1924,pending,iso,24,1913-1923,4,1907-1924,national,draft,assigned,False,False,False,False,,False,bulk
747,brunei darussalam|iia|1932-1945,brunei darussalam,iia,BRN-1888-2025,pending,iso,22,1932-1945,10,1888-2025,national,draft,assigned,False,False,False,False,,False,bulk
748,nepal|iia|1913-1944,nepal,iia,NPL-1816-2025,pending,iso,22,1913-1944,20,1816-2025,national,draft,assigned,False,False,False,False,,False,bulk
749,chile|juan|1899-1901,chile,juan,CHL-1899-1902,pending,iso,21,1899-1901,3,1899-1902,national,reviewed,assigned,True,False,False,False,,False,bulk
750,namibia|mitchell|1903-1912,namibia,mitchell,NAM-1886-1915,pending,iso,21,1903-1912,7,1886-1915,national,draft,assigned,False,False,False,False,,False,bulk
751,colombia|mitchell|1903-1921,colombia,mitchell,COL-1903-1922,pending,iso,20,1903-1921,19,1903-1922,national,reviewed,assigned,True,False,False,False,,False,bulk
752,timor leste|iia|1909-1940,timor-leste,iia,TLS-1800-2025,pending,iso,20,1909-1940,19,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
753,pakistan|mitchell|1947-1948,pakistan,mitchell,PAK-1947-1949,pending,iso,19,1947-1948,2,1947-1949,national,draft,assigned,False,False,False,False,,False,bulk
754,seychelles|iia|1909-1933,seychelles,iia,SYC-1903-2025,pending,iso,19,1909-1933,15,1903-2025,national,draft,assigned,False,False,False,False,,False,bulk
755,colombia|iia|1913-1921,colombia,iia,COL-1903-1922,pending,iso,18,1913-1921,6,1903-1922,national,reviewed,assigned,True,False,False,False,,False,bulk
756,congo|iia|1913-1918,congo,iia,COG-1912-1919,pending,iso,18,1913-1918,6,1912-1919,national,draft,assigned,False,False,False,False,,False,bulk
757,hungary|mitchell|1920-1937,hungary,mitchell,HUN-1920-1938,pending,applied_alias+iso,18,1920-1937,18,1920-1938,national,draft,assigned,False,False,False,False,,False,bulk
758,sao tome and principe|iia|1913-1944,sao tome and principe,iia,STP-1800-2025,pending,iso,17,1913-1944,13,1800-2025,national,draft,proxy,False,False,False,False,,False,bulk
759,nauru|iia|1909-1933,nauru,iia,NRU-1888-2025,pending,iso,16,1909-1933,16,1888-2025,national,draft,assigned,False,False,False,False,,False,bulk
760,germany|mitchell|1850-1865,germany,mitchell,DEU-1800-1866,pending,iso,15,1850-1865,15,1800-1866,national,draft,assigned,False,False,False,False,,False,bulk
761,jordan|mitchell|1927-1943,jordan,mitchell,JOR-1923-1946,pending,iso,15,1927-1943,15,1923-1946,national,draft,assigned,False,False,False,False,,False,bulk
762,malaysia|mitchell|1957-1960,malaysia,mitchell,MYS-1957-1963,pending,iso,15,1957-1960,4,1957-1963,national,draft,assigned,False,False,False,False,,False,bulk
763,estonia|juan|1940-1958,estonia,juan,EST-1940-1991,pending,iso,14,1940-1958,8,1940-1991,national,draft,assigned,False,False,False,False,,False,bulk
764,hungary|mitchell|1947-1960,hungary,mitchell,HUN-1947-2025,pending,iso,14,1947-1960,14,1947-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
765,suriname|mitchell|1954-1960,suriname,mitchell,SUR-1954-1975,pending,applied_alias+iso,14,1954-1960,7,1954-1975,national,draft,assigned,False,False,False,False,,False,bulk
766,paraguay|mitchell|1910-1930,paraguay,mitchell,PRY-1870-1932,pending,iso,13,1910-1930,6,1870-1932,national,draft,estimate,False,False,False,False,,False,bulk
767,paraguay|mitchell|1932-1937,paraguay,mitchell,PRY-1932-1938,pending,iso,13,1932-1937,6,1932-1938,national,draft,assigned,False,False,False,False,,False,bulk
768,brazil|mitchell|1903-1908,brazil,mitchell,BRA-1903-1909,pending,iso,12,1903-1908,6,1903-1909,national,draft,assigned,False,False,False,False,,False,bulk
769,central african republic|iia|1922-1931,central african republic,iia,CAF-1919-1960,pending,iso,12,1922-1931,6,1919-1960,national,draft,assigned,False,False,False,False,,False,bulk
770,dr congo|mitchell|1898-1909,dr congo,mitchell,COD-1894-1910,pending,iso,12,1898-1909,12,1894-1910,national,draft,assigned,False,False,False,False,,False,bulk
771,french w africa|fao1952|1949-1951,French W Africa,fao1952,AOF-1895-1960,pending,applied_alias,12,1949-1951,3,1895-1960,national,draft,assigned,False,False,False,False,,False,bulk
772,gambia|iia|1913-1945,gambia,iia,GMB-1800-2025,pending,iso,12,1913-1945,11,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
773,guinea|mitchell|1958-1960,guinea,mitchell,GIN-1958-2025,pending,iso,12,1958-1960,3,1958-2025,national,draft,assigned,False,False,False,False,,False,bulk
774,liberia|iia|1938-1945,liberia,iia,LBR-1847-2025,pending,iso,12,1938-1945,8,1847-2025,national,draft,assigned,False,False,False,False,,False,bulk
775,libya|mitchell|1935-1938,libya,mitchell,LBY-1934-1943,pending,iso,12,1935-1938,4,1934-1943,national,draft,assigned,False,False,False,False,,False,bulk
776,south korea|mitchell|1945-1947,south korea,mitchell,KOR-1945-1948,pending,iso,12,1945-1947,3,1945-1948,national,draft,assigned,False,False,False,False,,False,bulk
777,uganda|mitchell|1905-1909,uganda,mitchell,UGA-1902-1910,pending,iso,11,1905-1909,5,1902-1910,national,draft,assigned,False,False,False,False,,False,bulk
778,estonia|juan|1908-1916,estonia,juan,EST-1800-1918,pending,iso,10,1908-1916,3,1800-1918,national,draft,assigned,False,False,False,False,,False,bulk
779,guinea bissau|iia|1929-1945,guinea-bissau,iia,GNB-1886-1974,pending,iso,10,1929-1945,6,1886-1974,national,draft,assigned,False,False,False,False,,False,bulk
780,kenya|iia|1924-1925,kenya,iia,KEN-1924-1926,pending,iso,10,1924-1925,2,1924-1926,national,draft,assigned,False,False,False,False,,False,bulk
781,kenya|mitchell|1924-1925,kenya,mitchell,KEN-1924-1926,pending,iso,10,1924-1925,2,1924-1926,national,draft,assigned,False,False,False,False,,False,bulk
782,namibia|iia|1929-1938,namibia,iia,NAM-1920-1990,pending,iso,10,1929-1938,9,1920-1990,national,draft,assigned,False,False,False,False,,False,bulk
783,peru|mitchell|1873-1883,peru,mitchell,PER-1825-1884,pending,iso,10,1873-1883,10,1825-1884,national,draft,assigned,False,False,False,False,,False,bulk
784,brazil|juan|1900-1902,brazil,juan,BRA-1800-1903,pending,iso,8,1900-1902,3,1800-1903,national,draft,polygon_vintage_drift,False,False,False,False,,False,bulk
785,libya|mitchell|1925-1928,libya,mitchell,LBY-1925-1934,pending,iso,8,1925-1928,2,1925-1934,national,draft,assigned,False,False,False,False,,False,bulk
786,mongolia|mitchell|1957-1960,mongolia,mitchell,MNG-1921-2025,pending,iso,8,1957-1960,4,1921-2025,national,draft,assigned,False,False,False,False,,False,bulk
787,peru|juan|1901-1908,peru,juan,PER-1884-1909,pending,iso,8,1901-1908,8,1884-1909,national,draft,assigned,False,False,False,False,,False,bulk
788,cambodia|iia|1929-1943,cambodia,iia,KHM-1907-1953,pending,iso,7,1929-1943,6,1907-1953,national,draft,assigned,False,False,False,False,,False,bulk
789,hungary|iia|1944-1945,hungary,iia,HUN-1944-1947,pending,iso,7,1944-1945,2,1944-1947,national,draft,assigned,False,False,False,False,,False,bulk
790,lebanon|mitchell|1940-1943,lebanon,mitchell,LBN-1920-1944,pending,iso,7,1940-1943,4,1920-1944,national,draft,assigned,False,False,False,False,,False,bulk
791,togo|iia|1938-1945,togo,iia,FTO-1920-1960,pending,iso,7,1938-1945,2,1920-1960,national,draft,assigned,False,False,False,False,,False,bulk
792,chad|iia|1922-1924,chad,iia,TCD-1919-1960,pending,iso,6,1922-1924,3,1919-1960,national,draft,assigned,False,False,False,False,,False,bulk
793,faroe islands|iia|1929-1939,faroe islands,iia,FRO-1800-2025,pending,iso,6,1929-1939,6,1800-2025,territory,draft,assigned,False,False,False,False,,False,bulk
794,gabon|iia|1909-1911,gabon,iia,GAB-1839-1912,pending,iso,6,1909-1911,3,1839-1912,national,draft,assigned,False,False,False,False,,False,bulk
795,germany|mitchell|1938-1943,germany,mitchell,DEU-1938-1945,pending,iso,6,1938-1943,6,1938-1945,national,draft,assigned,False,False,False,False,,False,bulk
796,reunion|fao1952|1936-1938,Réunion,fao1952,REU-1816-1946,pending,applied_alias,6,1936-1938,3,1816-1946,colonial,draft,assigned,False,False,False,False,,False,bulk
