"year","country","iso_draft","polity_name","FAOSTAT_name","item","item_code","value","unit","area_code","region","region_UN","iso3c","polity_code","Source","source_file","sheet"
1902,"Tunisia","TUN","Tunisia","Tunisia","Oats",75,14000,"ha",222,"Northern Africa","Africa","TUN","TUN","mitchell","4.xlsx","page_4_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Oil, olive, virgin",261,16000,"tonnes",222,"Northern Africa","Africa","TUN","TUN","mitchell","page101-150.xlsx","page_45_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Sheep",976,720000,"heads",222,"Northern Africa","Africa","TUN","TUN","mitchell","page251-300.xlsx","page_25_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Wheat",15,436000,"ha",222,"Northern Africa","Africa","TUN","TUN","mitchell","4.xlsx","page_4_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Wheat",15,116000,"tonnes",222,"Northern Africa","Africa","TUN","TUN","mitchell","page51-100.xlsx","page_10_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Wine",564,9900,"tonnes",222,"Northern Africa","Africa","TUN","TUN","mitchell","page151-200.xlsx","page_34_table_1"
1902,"Turkey","TUR","Turkey","Türkiye","Tobacco, unmanufactured",826,34000,"tonnes",223,"Middle East","Asia","TUR","TUR","mitchell","page201-250.xlsx","page_15_table_1"
1902,"United Kingdom","GBR","United Kingdom","United Kingdom of Great Britain and Northern Ireland","Beer of barley",51,4693920,"tonnes",229,"OECD Europe","Europe","GBR","GBR","mitchell","mitchell_beer_4203-4219.xlsx","page_4208_table_1"
1902,"United States of America","USA","United States of America","United States of America","Beer of barley",51,4186480,"tonnes",231,"USA","Americas","USA","USA","mitchell","mitchell_beer_2746-2755.xlsx","page_2750_table_1"
1902,"United States of America","USA","United States of America","United States of America","Butter, cow milk",886,635000,"tonnes",231,"USA","Americas","USA","USA","mitchell","page551-593.xlsx","page_24_table_3"
1902,"United States of America","USA","United States of America","United States of America","Cotton lint",767,11154000,"ha",231,"USA","Americas","USA","USA","mitchell","page451-500.xlsx","page_18_table_1"
1902,"United States of America","USA","United States of America","United States of America","Cottonseed",NA,4290000,"tonnes",231,"USA","Americas","USA","USA","mitchell","page451-500.xlsx","page_8_table_1"
1902,"United States of America","USA","United States of America","United States of America","Flax fibre and tow",773,1569000,"ha",231,"USA","Americas","USA","USA","mitchell","page451-500.xlsx","page_3_table_1"
1902,"United States of America","USA","United States of America","United States of America","Meat",NA,5727000,"tonnes",231,"USA","Americas","USA","USA","mitchell","page551-593.xlsx","page_29_table_1"
1902,"United States of America","USA","United States of America","United States of America","Rice, paddy",27,221000,"ha",231,"USA","Americas","USA","USA","mitchell","page351-400.xlsx","page_13_table_1"
1902,"United States of America","USA","United States of America","United States of America","Rice, paddy",27,297000,"tonnes",231,"USA","Americas","USA","USA","mitchell","page351-400.xlsx","page_49_table_1"
1902,"United States of America","USA","United States of America","United States of America","Sugar cane",156,375000,"tonnes",231,"USA","Americas","USA","USA","mitchell","page401-450.xlsx","page_38_table_1"
1902,"United States of America","USA","United States of America","United States of America","Tobacco, unmanufactured",826,481000,"ha",231,"USA","Americas","USA","USA","mitchell","page451-500.xlsx","page_18_table_1"
1902,"United States of America","USA","United States of America","United States of America","Tobacco, unmanufactured",826,435000,"tonnes",231,"USA","Americas","USA","USA","mitchell","page451-500.xlsx","page_18_table_1 (2)"
1902,"United States of America","USA","United States of America","United States of America","Sugar cane",156,33000,"ha",231,"USA","Americas","USA","USA","mitchell","Sugar (extracted from 101-150).xlsx","Copia de page_41_table_1"
1902,"United States of America","USA","United States of America","United States of America","Sugar cane",156,398000,"tonnes",231,"USA","Americas","USA","USA","mitchell","Sugar (extracted from 101-150).xlsx","Copia de page_41_table_1 (2)"
1902,"Uruguay","URY","Uruguay","Uruguay","Beer of barley",51,1360,"tonnes",234,"South America","Americas","URY","URY","mitchell","mitchell_beer_2746-2755.xlsx","page_2753_table_1"
1902,"Uruguay","URY","Uruguay","Uruguay","Flax fibre and tow",773,340000,"ha",234,"South America","Americas","URY","URY","mitchell","page451-500.xlsx","page_3_table_1"
